direccion,distrito,metraje,dormitorios,precio
Calle Diego Ferre,"Miraflores, Lima",90 m² tot.,3 dorm.,"S/ 4,370 · USD 1,150"
Avenida Colombia 200,"Pueblo Libre, Lima",54 m² tot.,2 dorm.,"S/ 1,850"
"Calle Venus 183,Urb.Santa Elena, Chiclayo","Santa Elena, Chiclayo",65 m² tot.,NULL,"S/ 1,300 · USD 347"
Avenida Caminos del inca 3337,"Santiago de Surco, Lima",102 m² tot.,3 dorm.,"S/ 2,000"
Avenida Cerros De Camacho 1,"Santiago de Surco, Lima",270 m² tot.,3 dorm.,"S/ 6,613 · USD 1,700"
Km 27.5 carretera a Cieneguilla,"Cieneguilla, Cieneguilla",3000 m² tot.,6 dorm.,"S/ 2,160 · USD 600"
urb. sagitario,"Sagitario, Santiago de Surco",54 m² tot.,1 dorm.,"S/ 1,000"
Pedrierias 177,"Maranga, San Miguel",195 m² tot.,4 dorm.,"S/ 4,500 · USD 1,200"
Av. El Sol Oeste,"Barranco, Lima",50 m² tot.,1 dorm.,"S/ 3,280 · USD 875"
27 de Noiembre,"Miraflores, Lima",50 m² tot.,1 dorm.,"S/ 2,500 · USD 650"
Pasaje los cedros 150,"Santiago de Surco, Lima",65 m² tot.,2 dorm.,"S/ 1,000"
"Alarifes, Chorrillos","Chorrillos, Lima",110 m² tot.,3 dorm.,"S/ 2,300 · USD 600"
"Av. Piedras negras 504, san bartolo","San Bartolo, San Bartolo",67 m² tot.,3 dorm.,"S/ 2,800 · USD 740"
Luis Felipe Villaran 807,"San Isidro, Lima",212 m² tot.,7 dorm.,"S/ 14,763 · USD 3,990"
pasaje andres doria,"Chorrillos, Lima",300 m² tot.,7 dorm.,"S/ 9,405 · USD 2,500"
Aviación 131 San Miguel,"San Miguel, Lima",70 m² tot.,3 dorm.,"S/ 2,200 · USD 587"
Alameda Fray Cipriano de Calatayud,"Chorrillos, Lima",1012 m² tot.,4 dorm.,"S/ 13,680 · USD 3,600"
"Galeon, Urbanizacion Chacarilla, San Borja","Chacarilla, San Borja",240 m² tot.,3 dorm.,"S/ 7,030 · USD 1,900"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
PEDRO MARTINTO,"Barranco, Lima",46 m² tot.,1 dorm.,"S/ 2,400"
"v. Del Río , Pueblo Libre , Perú","Pueblo Libre, Lima",1959 m² tot.,NULL,"S/ 155,500 · USD 41,533"
Ca. Lima,"Cercado De Yanahuara, Yanahuara",115 m² tot.,3 dorm.,"S/ 2,600"
NULL,NULL,NULL,NULL,NULL
calle los girasoles 124,"Valle Hermoso, Santiago de Surco",160 m² tot.,3 dorm.,"S/ 3,562 · USD 229,000"
Calle Saint Saenz 300,"San Borja, Lima",130 m² tot.,3 dorm.,"S/ 4,100 · USD 1,090"
Av. Precursores al 1100,"Los Precursores, San Miguel",140 m² tot.,7 dorm.,"S/ 8,000 · USD 2,100"
NULL,NULL,NULL,NULL,NULL
"Av. La Merced 189, urb. El Rosedal , Miraflores","Rosedal, Miraflores",110 m² tot.,4 dorm.,"S/ 3,375 · USD 900"
Calle Cantuarias No. 140 Local 39,"Miraflores, Lima",9 m² tot.,NULL,S/ 900
"Calle Venus 183, Urb. Santa Elena","Santa Elena, Chiclayo",160 m² tot.,NULL,"S/ 1,500 · USD 400"
Galilea- Vista Alegre,"Chiclayo, Chiclayo",107 m² tot.,NULL,"S/ 1,400 · USD 371"
parques de comas,"El Retablo, Comas",75 m² tot.,3 dorm.,"S/ 1,200"
Av. La Paz 981,"Miramar, San Miguel",63 m² tot.,2 dorm.,"S/ 1,750"
MELLO FRANCO,"Jesús María, Lima",70 m² tot.,3 dorm.,"S/ 2,200"
Miguel Seminario,"San Isidro, Lima",60 m² tot.,2 dorm.,"S/ 3,420 · USD 900"
Monte los olivos 3,"Santiago de Surco, Lima",65 m² tot.,1 dorm.,"S/ 2,000 · USD 526"
jiron las aguilas 284,"Bellavista, Bellavista",69 m² tot.,3 dorm.,"S/ 1,600"
MALECON,"San Miguel, San Miguel",110 m² tot.,3 dorm.,"S/ 1,900 · USD 480"
MALECON DE LA MARINA,"Miraflores, Lima",98 m² tot.,1 dorm.,"S/ 4,160 · USD 1,100"
Dirección no informada,"Leuro, Miraflores",120 m² tot.,1 dorm.,"S/ 3,740 · USD 1,000"
Avenida San Martin 625,"Barranco, Lima",46 m² tot.,1 dorm.,"S/ 2,470 · USD 650"
Calle FRANCISCO EGUIGUREN N° S/N,"San Isidro, Lima",409 m² tot.,3 dorm.,"S/ 20,790 · USD 5,500"
Calle LAS LADERAS 662 - 802,"Santiago de Surco, Lima",178 m² tot.,3 dorm.,"S/ 6,300 · USD 1,650"
AVENIDA 2 DE MAYO 1566,"San Isidro, Lima",53 m² tot.,1 dorm.,"S/ 2,375 · USD 630"
Dirección no informada,"Barranco, Lima",70 m² tot.,1 dorm.,"S/ 2,500"
Agrupamiento Mi Peru Mz. B2 Lte. 24,"Ventanilla, Callao",160 m² tot.,3 dorm.,"S/ 1,800 · USD 485"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Pueblo Libre 15084,"Pueblo Libre, Lima",300 m² tot.,5 dorm.,"S/ 5,180 · USD 1,400"
Av. Bolivar 524,"Pueblo Libre, Lima",42 m² tot.,1 dorm.,"S/ 1,800"
SERGIO BERNALES 214,"Aurora Este, Surquillo",160 m² tot.,3 dorm.,"S/ 3,400 · USD 900"
NULL,NULL,NULL,NULL,NULL
Jirón Monte Ebano,"Santiago de Surco, Lima",125 m² tot.,3 dorm.,"S/ 2,300"
Av. Grau 877,"Piura, Piura",70 m² tot.,2 dorm.,"S/ 2,500 · USD 668"
ISLAS CANARIAS N° 120 PUEBLO LIBRE,"Isla Verde, Pueblo Libre",109 m² tot.,2 dorm.,"S/ 2,400"
NULL,NULL,NULL,NULL,NULL
ALAMEDA 1 200,"Callao, Lima",70 m² tot.,2 dorm.,"S/ 1,500 · USD 400"
Calle WILLIAM ARIAS ROBLES - XX,"Miraflores, Lima",248 m² tot.,3 dorm.,"S/ 7,480 · USD 2,000"
"Calle Ricardo Cushing 4, Piura","Piura, Piura",360 m² tot.,3 dorm.,"S/ 4,000 · USD 1,000"
av. alberto alexander 2600,"Lince, Lima",43 m² tot.,1 dorm.,"S/ 2,500 · USD 660"
javier prado este 1220/948963919,"Corpac, San Isidro",145 m² tot.,3 dorm.,"S/ 3,995 · USD 1,110"
Av. De La Marina 2015,"San Miguel, Lima",75 m² tot.,3 dorm.,"S/ 2,800 · USD 740"
parque acuatico grap kids,"Cieneguilla, Cieneguilla",1600 m² tot.,3 dorm.,"S/ 2,490 · USD 650"
Roca y Boloña 1130 Miraflores,"Aurora, Miraflores",318 m² tot.,4 dorm.,"S/ 6,800 · USD 1,800"
a pocos metros de la UPC,"San Miguel, Lima",70 m² tot.,2 dorm.,"S/ 1,800"
Dirección no informada,"Punta Hermosa, Punta Hermosa",87 m² tot.,2 dorm.,"S/ 1,125 · USD 300"
Selva alegre,"Selva Alegre, Arequipa",404 m² tot.,15 dorm.,"S/ 10,500 · USD 3,000"
Jirón Milet - San Borja,"San Borja Norte, San Borja",470 m² tot.,8 dorm.,"S/ 13,000 · USD 3,500"
"AV. SANCHEZ CERRO, PIURA","Piura, Piura",204 m² tot.,3 dorm.,"S/ 4,500 · USD 1,219"
Marcavalle,"Marcavalle, Wanchaq",432 m² tot.,NULL,"S/ 9,000 · USD 2,500"
met,"Santa Catalina, La Victoria",41 m² tot.,1 dorm.,"S/ 1,900"
CRISTOBAL LOZADA Y PUGA,"San Miguel, Lima",50 m² tot.,1 dorm.,"S/ 1,300"
"PUEBLO LIBRE, JR. DOMINGO NIETO","Pueblo Libre, Lima",100 m² tot.,2 dorm.,"S/ 2,300 · USD 600"
Calle Cuzco Num 112 Zona Barrio Norte,"Piura, Piura",104 m² tot.,3 dorm.,"S/ 1,400 · USD 368"
CAYMA,"Cayma, Arequipa",120 m² tot.,2 dorm.,"S/ 2,500 · USD 680"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Malecón Cisneros,"Miraflores, Lima",90 m² tot.,1 dorm.,"S/ 3,700 · USD 999"
calle santander 100,"Miraflores, Lima",101 m² tot.,3 dorm.,"S/ 3,665 · USD 980"
Condominio Mirador de Asia -lima Sur,"El Mirador De Asia, Pachacamac",114 m² tot.,4 dorm.,"S/ 2,220 · USD 600"
NULL,NULL,NULL,NULL,NULL
Av. Alameda de La Molina Vieja 6,"La Molina, Lima",500 m² tot.,4 dorm.,"S/ 15,560 · USD 4,000"
Av Rivera Navarrete 28,"Lima, Lima",47 m² tot.,1 dorm.,"S/ 8,947 · USD 2,300"
Malecon DE LA MARINA esquina calle Villarreal,"Miraflores, Lima",121 m² tot.,2 dorm.,"S/ 5,320 · USD 1,400"
NULL,NULL,NULL,NULL,NULL
Av. Naciones Unidas 1533,"Lima Cercado, Lima",100 m² tot.,1 dorm.,S/ 850
ASUNCION 292,"Santa Patricia, La Molina",70 m² tot.,2 dorm.,"S/ 1,500"
AV PASEO DE LA REPUBLICA,"Surquillo, Lima",80 m² tot.,3 dorm.,"S/ 2,000"
Río Huallaga 105,"Salamanca De Monterrico, Ate Vitarte",98 m² tot.,2 dorm.,"S/ 1,800"
Calle las Fresas,"Miraflores, Lima",250 m² tot.,3 dorm.,"S/ 5,852 · USD 1,540"
Av arequipa 5020,"Miraflores, Lima",120 m² tot.,2 dorm.,"S/ 5,700 · USD 1,500"
"Avenida Aramburu 3, San Isidro (alt Cruce Aramburu con Paseo de la Republica)","San Isidro, Lima",400 m² tot.,6 dorm.,"S/ 13,908 · USD 3,800"
Los lirios,"San Isidro, Lima",50 m² tot.,1 dorm.,"S/ 2,438 · USD 650"
Urb. Las Quintanas,"Trujillo, Trujillo",69 m² tot.,3 dorm.,"S/ 1,700 · USD 456"
AV. LAS FLORES DE SANTA ROSA (MZ Z LT 05) _ SAN MARTIN DE PORRES,"San Martín de Porres, Lima",120 m² tot.,2 dorm.,S/ 850 · USD 221
Parque Manuel Gonzales Prada 157,"San Ignacio, Barranco",134 m² tot.,3 dorm.,"S/ 3,484 · USD 925"
Los Castaños 271,"Los Casta´┐¢os, San Isidro",83 m² tot.,1 dorm.,"S/ 3,600 · USD 980"
AV.UNIVERSITARIA 5600 LOS OLIVOS,"Los Olivos, Lima",75 m² tot.,2 dorm.,"S/ 1,100"
Dirección no informada,"San Gabriel, San Isidro",300 m² tot.,3 dorm.,"S/ 17,578 · USD 4,700"
JR. SAN MARTIN 749,"San Miguel, Lima",84 m² tot.,3 dorm.,"S/ 1,750"
RIVERA NAVARRETE 548,"San Isidro, Lima",70 m² tot.,1 dorm.,"S/ 2,700 · USD 700"
C. 9 175,"Comas, Lima",64 m² tot.,3 dorm.,"S/ 328,950 · USD 85,000"
Dirección no informada,"Santiago, Cusco",200 m² tot.,4 dorm.,"S/ 3,402 · USD 900"
"MIRAFLORES COUNTRY CLUB, CASTILLA, PIURA","Castilla, Piura",208 m² tot.,5 dorm.,"S/ 3,800 · USD 1,021"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Huamachuco,"Jesús María, Lima",136 m² tot.,3 dorm.,"S/ 10,000"
johnston road,"Santa Cruz, Miraflores",40 m² tot.,1 dorm.,"S/ 8,000 · USD 2,000"
JR. ESTADOS UNIDOS 135,"Jesús María, Lima",67 m² tot.,2 dorm.,"S/ 2,600"
NULL,NULL,NULL,NULL,NULL
Avenida Las Palmeras 331,"San Isidro, Lima",180 m² tot.,3 dorm.,"S/ 5,800 · USD 1,300"
AV.OSCAR BENAVIDES 866,"La Colonial, Lima Cercado",75 m² tot.,1 dorm.,"S/ 1,400 · USD 475"
Jr Acapulco 175,"El Sol De La Molina Et.1, La Molina",419 m² tot.,4 dorm.,"S/ 11,020 · USD 650,000"
NULL,NULL,NULL,NULL,NULL
Malecon Cisneros,"Miraflores, Lima",150 m² tot.,3 dorm.,"S/ 6,750 · USD 1,800"
Av Alameda Del Corregidor 1,"La Molina, Lima",170 m² tot.,3 dorm.,"S/ 6,418 · USD 1,650"
Fitzcarrald,"Iquitos, Maynas",164 m² tot.,NULL,"S/ 5,000"
MONTE FLOR 470,"Chacarilla Del Estanque, Santiago de Surco",144 m² tot.,3 dorm.,"S/ 4,180 · USD 285,000"
"Malecón Malecon DE LA Reserva N° 7xx, Dpto. 6XX","Miraflores, Lima",220 m² tot.,3 dorm.,"S/ 11,968 · USD 3,200"
"Nazca 482, Jesus Maria","Jesús María, Lima",90 m² tot.,3 dorm.,"S/ 2,800"
cerezo 330,"La Calera De La Merced, Surquillo",70 m² tot.,3 dorm.,"S/ 2,200"
MANUEL OLGUIN 350,"Monterrico, Santiago de Surco",190 m² tot.,3 dorm.,"S/ 4,080 · USD 250,000"
Mz. A. Lote 2,"El Mirador, Asia",195 m² tot.,3 dorm.,"S/ 10,044 · USD 2,700"
Dirección no informada,"San Isidro, Lima",147 m² tot.,3 dorm.,"S/ 6,732 · USD 1,800"
Elias Aguirre Miraflores,"Miraflores, Lima",80 m² tot.,3 dorm.,"S/ 3,720 · USD 1,000"
"ASUNCION 288, Santa Patricia, La Molina","Santa Patricia I-etapa, La Molina",47 m² tot.,2 dorm.,"S/ 1,350"
AV. PACASMAYO FRENTE CHAPERITO SCHOOL,"Callao, Lima",167 m² tot.,4 dorm.,"S/ 2,300 · USD 605"
av. mariscal la mar 834,"Miraflores, Lima",65 m² tot.,2 dorm.,"S/ 3,500 · USD 921"
Av SAN MARTIN S/N,"Barranco, Lima",42 m² tot.,1 dorm.,"S/ 3,000 · USD 799"
Jr. Diana,"Sagitario, Santiago de Surco",103 m² tot.,2 dorm.,"S/ 1,900"
"Calle LAS Tortolas N°380, Urb. LA Pradera.","La Molina, Lima",1319 m² tot.,3 dorm.,"S/ 28,050 · USD 7,500"
"URB. JARDINES DE SANTA ROSA, CHICLAYO","Chiclayo, Chiclayo",160 m² tot.,NULL,"S/ 2,800 · USD 740"
Carreta Canta 65.6,"Canta, Lima",250 m² tot.,6 dorm.,"S/ 1,700 · USD 580"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Av. Tejada,"Miraflores, Lima",55 m² tot.,1 dorm.,"S/ 2,800 · USD 750"
Playa Vichayito norte Antigua Panamericana Norte Km + Los Organos Talara Piura,"Mancora, Mancora",300 m² tot.,6 dorm.,Consultar precio
"AV. JULIO CALERO 1224 URB. LOS LAURELES , Chorrillos,","Los Laureles, Chorrillos",87 m² tot.,NULL,"S/ 1,600"
NULL,NULL,NULL,NULL,NULL
Carlos Porras Osores 3,"San Isidro, Lima",215 m² tot.,3 dorm.,"S/ 8,169 · USD 2,100"
Jirón Francisco Cuellar 3,"Santiago de Surco, Lima",1000 m² tot.,4 dorm.,"S/ 19,450 · USD 5,000"
LUIS N. SAENZ 565,"Jesús María, Lima",103 m² tot.,2 dorm.,"S/ 2,700"
NULL,NULL,NULL,NULL,NULL
Av Circunvalación del Club Golf los Incas 148 - AMOBLADO MOON - CERCA A LA UNIVERSIDAD DE LIMA,"Club Golf Los Incas, Santiago de Surco",155 m² tot.,3 dorm.,"S/ 7,215 · USD 1,950"
tarapoto,"Tarapoto, San Martin",1445 m² tot.,3 dorm.,"S/ 7,000 · USD 1,907"
Av los Fresnos al 1800,"La Molina, Lima",90 m² tot.,2 dorm.,"S/ 1,400"
luis pasteur,"San Isidro, Lima",53 m² tot.,1 dorm.,"S/ 2,450 · USD 650"
sauces/ 948963919,"Neptuno, Santiago de Surco",220 m² tot.,4 dorm.,"S/ 6,475 · USD 1,750"
"Av Juan De Aliaga 1, Cdra. 4, Magdalena","Lima, Lima",420 m² tot.,4 dorm.,"S/ 15,725 · USD 4,250"
AV.Universitaria 5600 LOS OLIVOS,"Los Olivos, Lima",75 m² tot.,2 dorm.,S/ 900
Av. Cesar Vallejo 1349 Lince,"Lince, Lima",300 m² tot.,3 dorm.,"S/ 6,375 · USD 1,700"
AV. SAN BORJA NORTE 630,"San Borja, Lima",180 m² tot.,4 dorm.,"S/ 7,163 · USD 1,900"
Av. Malecón de la Reserva 275,"Miraflores, Lima",125 m² tot.,3 dorm.,"S/ 4,180 · USD 1,100"
Calle Anchorena,"San Isidro, Lima",1298 m² tot.,6 dorm.,"S/ 67,000 · USD 18,000"
LAUREL ROSA,"Los Sauces, Surquillo",60 m² tot.,2 dorm.,"S/ 1,700"
"CALLE DOÑA EDELMIRA, SANTIAGO DE SURCO","Los Rosales, Santiago de Surco",75 m² tot.,2 dorm.,"S/ 1,800 · USD 110,000"
Avenida Aurelio Miroquesada 990,"San Isidro, Lima",320 m² tot.,3 dorm.,"S/ 13,195 · USD 3,500"
Av. Central 977,"Santiago de Surco, Lima",90 m² tot.,4 dorm.,"S/ 3,790 · USD 1,000"
MALECON NORTE 1460,"Punta Negra, Lima",110 m² tot.,3 dorm.,"S/ 2,500 · USD 680"
AV. AURELIO MIRO QUESADA 222,"Country Club, San Isidro",316 m² tot.,4 dorm.,"S/ 9,024 · USD 2,400"
ENRIQUE PALACIOS 246 MIRAFLORES,"Miraflores, Lima",40 m² tot.,1 dorm.,"S/ 2,090 · USD 550"
CERCA A LA AVENIDA MARIATEGUI,"Jesús María, Lima",65 m² tot.,2 dorm.,"S/ 1,600"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Urb. Natasha Alta,"Trujillo, Trujillo",60 m² tot.,2 dorm.,"S/ 2,000"
"Urb. Calle, Av. Alameda Del Pinar 6","Comas, Lima",69 m² tot.,2 dorm.,S/ 650 · USD 173
Avenida La Capilla 10,"Rímac, Lima",100 m² tot.,3 dorm.,"S/ 1,700"
NULL,NULL,NULL,NULL,NULL
Dirección no informada,"San Isidro, Lima",300 m² tot.,3 dorm.,"S/ 14,960 · USD 4,000"
CIRCUNVALACION DEL CLUB GOLF LOS INCAS 148 - ALQUILO DEPARTAMENTO DE LUJO AMOBLADO - EDIFICIO MOON,"Club Golf Los Incas, Santiago de Surco",160 m² tot.,3 dorm.,"S/ 8,100 · USD 2,200"
Av. Guardia Chalaca 1243,"Callao, Callao",450 m² tot.,7 dorm.,"S/ 56,122 · USD 495,000"
NULL,NULL,NULL,NULL,NULL
urbanizacion las magnolias,"Miraflores, Lima",204 m² tot.,6 dorm.,"S/ 9,350 · USD 2,500"
calle kibur,"Rinconada Del Lago, La Molina",48 m² tot.,2 dorm.,"S/ 2,300 · USD 620"
"ALAMEDA COSTA NORTE 3XX, MZ AE, LOTE 1, URBANIZACION LAS BRISAS","Las Brisas De Villa, Chorrillos",300 m² tot.,3 dorm.,"S/ 8,510 · USD 467,000"
Calle La Luna 100,"Santiago de Surco, Lima",90 m² tot.,2 dorm.,"S/ 1,800"
Calle MORRO SOLAR 390 - 701,"Valle Hermoso Oeste, Santiago de Surco",107 m² tot.,3 dorm.,"S/ 3,402 · USD 900"
Callahuanca,"Huarochirí, Lima",1000 m² tot.,5 dorm.,"S/ 1,400 · USD 376"
Av Jose Pardo,"Miraflores, Lima",105 m² tot.,2 dorm.,"S/ 3,800 · USD 1,000"
AV. BENAVIDES,"Miraflores, Lima",110 m² tot.,3 dorm.,"S/ 2,600 · USD 685"
Jr. Ocharán Cda,"Leuro, Miraflores",70 m² tot.,2 dorm.,"S/ 2,250 · USD 610"
POR PENTAGONITO-CHACARILLA,"San Borja, Lima",126 m² tot.,3 dorm.,"S/ 4,900 · USD 1,300"
BOLIVAR,"Miraflores, Lima",98 m² tot.,2 dorm.,"S/ 2,960 · USD 800"
Asia Km 107 Panamericana Sur,"Asia, Cañete",200 m² tot.,4 dorm.,"S/ 9,375 · USD 2,500"
El Sol,"Barranco, Lima",180 m² tot.,2 dorm.,"S/ 6,380 · USD 548,000"
Sucre 4,"Miraflores, Lima",160 m² tot.,3 dorm.,"S/ 8,947 · USD 2,300"
"R8G7+Vp5, Piura 20008, Perú","Veintiseis de Octubre, Piura",460 m² tot.,7 dorm.,"S/ 4,300 · USD 147,849"
Urb. Alameda del Retablo III,"Comas, Lima",60 m² tot.,1 dorm.,"S/ 1,300"
JUAN JOSE CALLE,"Aurora, Miraflores",135 m² tot.,2 dorm.,"S/ 4,800 · USD 1,270"
"Los Castaños 500, san isidro","Los Casta´┐¢os, San Isidro",170 m² tot.,3 dorm.,"S/ 4,900 · USD 1,300"
Las Infantas,"La Molina, Lima",277 m² tot.,4 dorm.,"S/ 5,920 · USD 1,600"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
El Acantilado de Barranco,"Barranco, Lima",450 m² tot.,4 dorm.,"S/ 18,500 · USD 5,000"
Jirón Centenario 1,"Barranco, Lima",40 m² tot.,1 dorm.,"S/ 2,723 · USD 700"
Jirón José Nicolás Rodrigo 250 Surco,"Santiago de Surco, Lima",51 m² tot.,1 dorm.,"S/ 2,600 · USD 700"
NULL,NULL,NULL,NULL,NULL
Espalda colegio Humboldt,"Santiago de Surco, Lima",95 m² tot.,3 dorm.,"S/ 2,400 · USD 650"
calle manco capac,"Miraflores, Lima",100 m² tot.,2 dorm.,"S/ 4,070 · USD 1,100"
URB. MIRAFLORES CASTILLA PIURA,"Castilla, Piura",183 m² tot.,3 dorm.,"S/ 1,700 · USD 442"
NULL,NULL,NULL,NULL,NULL
Av Alfredo Benavides 250 Miraflores,"Jose Balta, Miraflores",70 m² tot.,1 dorm.,"S/ 1,700 · USD 470"
Dirección no informada,"San Miguel, Lima",60 m² tot.,2 dorm.,"S/ 1,250"
Malecon Grau,"Chorrillos, Lima",200 m² tot.,3 dorm.,"S/ 5,550 · USD 370,000"
"calle San Martin 727,Miraflores","Miraflores, Lima",90 m² tot.,2 dorm.,"S/ 3,895 · USD 1,050"
Urbanización Residencial Aeropuerto calle saturno,"Callao, Lima",60 m² tot.,2 dorm.,"S/ 1,200"
"Jr. Las Uvas 390, surco","Santiago de Surco, Lima",90 m² tot.,3 dorm.,"S/ 2,400 · USD 635"
Calle 3,"Rinconada Baja, La Molina",1077 m² tot.,5 dorm.,"S/ 25,830 · USD 7,000"
Pasaje BRESCIANI S/N,"Barranco, Lima",632 m² tot.,3 dorm.,"S/ 21,835 · USD 5,500"
Arenales 2570,"Lince, Lima",58 m² tot.,2 dorm.,"S/ 2,600"
Calle Sigma E67,"Chacarilla, San Borja",40 m² tot.,2 dorm.,"S/ 1,900 · USD 450"
Cayma Baja,"Cayma, Arequipa",50 m² tot.,1 dorm.,"S/ 1,780 · USD 473"
Calle LOS NOGALES 445 - 103,"San Isidro, Lima",276 m² tot.,3 dorm.,"S/ 11,904 · USD 3,200"
malecon pazos 126,"Barranco, Lima",470 m² tot.,4 dorm.,"S/ 19,855 · USD 5,500"
SANTA INES TRUJILLO,"Santa Ines, Trujillo",90 m² tot.,3 dorm.,"S/ 1,800 · USD 469"
bello horizonte,"Bello Horizonte, Cayma",1000 m² tot.,5 dorm.,"S/ 10,820 · USD 2,900"
ALT CDRA 35 DE AV CAMINOS DEL INCA,"Santiago de Surco, Lima",60 m² tot.,2 dorm.,"S/ 1,450"
Riverra Navarrete al 2800,"Lince, Lima",45 m² tot.,1 dorm.,"S/ 2,200 · USD 580"
Manuel Villavicencio al 1191,"Lima, Lima",54 m² tot.,1 dorm.,"S/ 2,820 · USD 600"
Calle La Serena 196,"Callao, Lima",120 m² tot.,3 dorm.,"S/ 1,600 · USD 420"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Los Castaños 384,"Chaclacayo, Chaclacayo",1000 m² tot.,3 dorm.,"S/ 2,900 · USD 783"
Berlín,"Miraflores, Lima",100 m² tot.,3 dorm.,"S/ 3,350 · USD 900"
"Av. Proceres de Huandoy 4954, Los Olivos","Los Jazmines De Naranjal, Los Olivos",34 m² tot.,1 dorm.,S/ 800
NULL,NULL,NULL,NULL,NULL
Dos de mayo 1799,"San Isidro, Lima",300 m² tot.,3 dorm.,"S/ 10,500 · USD 2,800"
Calle Teresa González de Fanning,"Los Olivos, Lima",74 m² tot.,3 dorm.,"S/ 1,200 · USD 317"
Av. LOS CONQUISTADORES,"Santa Cruz, San Isidro",353 m² tot.,5 dorm.,"S/ 24,500 · USD 1,400,000"
NULL,NULL,NULL,NULL,NULL
Tejada,"Miraflores, Lima",59 m² tot.,NULL,"S/ 2,420 · USD 650"
Calle Matto de Turner Urbanización Viña San Francisco,"Santa Anita, Lima",70 m² tot.,2 dorm.,"S/ 1,200 · USD 324"
EN Alquiler Departamento · Cercado,"Cercado, Arequipa",NULL,3 dorm.,"S/ 1,500"
condominio los altos del valle,"Tambo Viejo, Cieneguilla",1118 m² tot.,3 dorm.,"S/ 7,030 · USD 1,900"
Av. Almte. Miguel Grau 1554,"Barranco, Lima",60 m² tot.,2 dorm.,"S/ 2,850 · USD 750"
Av. Costanera 2210,"San Miguel, Lima",55 m² tot.,1 dorm.,"S/ 1,700"
El sol,"Barranco, Lima",40 m² tot.,1 dorm.,"S/ 2,400 · USD 650"
"Calle Teruel 151, Miraflores","Santa Cruz, Miraflores",85 m² tot.,1 dorm.,"S/ 3,393 · USD 900"
"Cerca a Jr Echenique, Magdalena","Magdalena, Lima",70 m² tot.,2 dorm.,"S/ 1,450 · USD 388"
av. nuñez de balboa 1268,"Miraflores, Lima",220 m² tot.,2 dorm.,"S/ 4,350 · USD 1,155"
ARENALES,"Lince, Lima",30 m² tot.,1 dorm.,"S/ 1,000"
Almirante Lord Nelson,"Miraflores, Lima",58 m² tot.,1 dorm.,"S/ 2,600 · USD 700"
Av. Precursores 4,"Chacarilla Del Estanque, Santiago de Surco",217 m² tot.,3 dorm.,"S/ 5,835 · USD 1,500"
parque maria reiche,"Malecon Marina, Miraflores",130 m² tot.,3 dorm.,S/ 444 · USD 120
Sol del Valle Etapa 3,"Sunampe, Sunampe",60 m² tot.,1 dorm.,S/ 500
Calle ALGUACILES 3XX,"Las Gardenias, Santiago de Surco",250 m² tot.,5 dorm.,"S/ 14,960 · USD 4,000"
La Republica,"San Isidro, Lima",30 m² tot.,1 dorm.,"S/ 1,850 · USD 500"
Los Parques De San Gabriel Chiclayo,"Chiclayo, Chiclayo",69 m² tot.,NULL,"S/ 1,280 · USD 344"
Municipalidad de Carabayllo,"Carabayllo, Lima",99 m² tot.,3 dorm.,S/ 800
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
ENRIQUE PALACIOS XXX,"Miraflores, Lima",95 m² tot.,3 dorm.,"S/ 2,797 · USD 763"
SANTA MARGARITA PIURA,"Piura, Piura",103 m² tot.,3 dorm.,"S/ 1,500 · USD 395"
Martinto 114,"Barranco, Lima",41 m² tot.,1 dorm.,"S/ 2,200 · USD 125,000"
NULL,NULL,NULL,NULL,NULL
Av. Arequipa,"Cayma, Arequipa",180 m² tot.,4 dorm.,"S/ 2,950 · USD 185,000"
Condominio La Raya Cieneguilla,"Lima, Lima",1012 m² tot.,4 dorm.,S/ 800 · USD 208
Jr Jose Nicolas Rodrigo 365 Santiago de Surco,"Santiago de Surco, Lima",157 m² tot.,3 dorm.,"S/ 5,180 · USD 1,400"
NULL,NULL,NULL,NULL,NULL
Golf san isidro,"Golf, San Isidro",110 m² tot.,2 dorm.,"S/ 4,511 · USD 1,300"
Calle Andrómeda #700 -chorrillos,"Chorrillos, Lima",62 m² tot.,3 dorm.,"S/ 2,200"
Los Cedros Cdra 6,"Golf, San Isidro",554 m² tot.,3 dorm.,"S/ 25,550 · USD 7,000"
MACHAYPUITO,"San Isidro, Lima",110 m² tot.,3 dorm.,"S/ 5,580 · USD 315,000"
General Silva 200,"Miraflores, Lima",87 m² tot.,2 dorm.,"S/ 4,015 · USD 1,050"
Baja Balta,"Miraflores, Lima",91 m² tot.,2 dorm.,"S/ 3,500 · USD 950"
