direccion,distrito,metraje,dormitorios,precio
MALECON ARMENDARIZ 200,"Armendariz, Miraflores",220 m² tot.,3 dorm.,"S/ 9,496 · USD 2,499"
JERONIMO DE ALIAGA NORTE 2,"Huertos De San Antonio, Santiago de Surco",100 m² tot.,3 dorm.,"S/ 3,357 · USD 900"
Jirón combate de Iquique 240,"Santiago de Surco, Lima",107 m² tot.,4 dorm.,"S/ 2,400 · USD 630"
Av San Luis,"San Borja Norte, San Borja",180 m² tot.,6 dorm.,"S/ 15,500 · USD 3,999"
Av. Jorge Basadre 100,"Country Club, San Isidro",490 m² tot.,4 dorm.,"S/ 12,950 · USD 750,000"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Av Sergio Bernales,"Surquillo, Lima",98 m² tot.,3 dorm.,"S/ 3,020 · USD 800"
"Calle Colón, Miraflores, Perú","Miraflores, Lima",95 m² tot.,1 dorm.,"S/ 4,125 · USD 1,100"
Av. Argentina 1653,"Callao, Callao",71 m² tot.,3 dorm.,"S/ 1,400"
NULL,NULL,NULL,NULL,NULL
Calle Neiser Llacsa 181 miraflores,"Miraflores, Lima",182 m² tot.,3 dorm.,"S/ 3,800 · USD 1,000"
camping center,"Miraflores, Lima",294 m² tot.,3 dorm.,"S/ 8,974 · USD 2,350"
JR. TOMASAL 324,"Santiago de Surco, Lima",110 m² tot.,3 dorm.,"S/ 3,885 · USD 1,050"
NULL,NULL,NULL,NULL,NULL
Manuel Perez de Tudela,"San Isidro, Lima",450 m² tot.,4 dorm.,"S/ 24,300 · USD 6,000"
Durero 146,"San Borja, Lima",91 m² tot.,3 dorm.,"S/ 3,180 · USD 840"
Avenida La Mar 2591 San Miguel,"San Miguel, Lima",100 m² tot.,3 dorm.,"S/ 2,046 · USD 550"
CALLE CANTUARIAS,"Miraflores, Lima",95 m² tot.,2 dorm.,"S/ 2,960 · USD 800"
Av. El Ejercito 809,"Magdalena, Lima",100 m² tot.,3 dorm.,"S/ 2,850 · USD 750"
Calle Padre Luis Tezza 139,"Santiago de Surco, Lima",72 m² tot.,1 dorm.,"S/ 1,800 · USD 465"
Malecón La Marina S/N,"Miraflores, Lima",113 m² tot.,2 dorm.,"S/ 5,984 · USD 1,600"
Av. el ejército,"Miraflores, Lima",80 m² tot.,3 dorm.,"S/ 2,400 · USD 650"
"San Fernando , Moderno Duplex, 02 Dorm. Amoblado y Equipado,","Miraflores, Lima",110 m² tot.,2 dorm.,"S/ 4,725 · USD 1,250"
Jr Rodolfo Rutten al 310,"Lima, Lima",130 m² tot.,2 dorm.,"S/ 3,000 · USD 800"
Av. San Martín 625,"Barranco, Lima",37 m² tot.,1 dorm.,"S/ 2,065 · USD 550"
Cerros de camacho 420,"Santiago de Surco, Lima",591 m² tot.,3 dorm.,"S/ 12,915 · USD 3,500"
Av del ejercito 481,"Magdalena, Lima",62 m² tot.,2 dorm.,"S/ 2,500 · USD 675"
Calle La Florida 155,"San Isidro, Lima",53 m² tot.,1 dorm.,"S/ 2,800 · USD 740"
Calle ocharan 680,"Malecon Reserva, Miraflores",70 m² tot.,1 dorm.,"S/ 2,650 · USD 700"
Av. Javier Prado al 1500,"Santa Catalina, La Victoria",78 m² tot.,3 dorm.,"S/ 2,820 · USD 740"
"C. Isla Hawai, Pueblo Libre 15084","Isla Verde, Pueblo Libre",89 m² tot.,3 dorm.,"S/ 2,500"
Calle Las Tortolas 200,"La Pradera, La Molina",1031 m² tot.,4 dorm.,"S/ 16,560 · USD 1,780,000"
Av. Alameda de la Molina Vieja 300,"Molina Vieja, La Molina",1000 m² tot.,4 dorm.,"S/ 11,563 · USD 3,100"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
AV. VELASCO ASTETE 1060,"Chacarilla Monte Umbroso, Santiago de Surco",70 m² tot.,2 dorm.,"S/ 3,293 · USD 890"
"Jirón La Floresta , Surco","Santiago de Surco, Lima",157 m² tot.,3 dorm.,"S/ 4,797 · USD 1,300"
"Calle Olaechea, San Isidro, Perú","San Isidro, Lima",146 m² tot.,3 dorm.,"S/ 4,875 · USD 1,300"
NULL,NULL,NULL,NULL,NULL
Calle LOS Sauces AL 200,"San Isidro, Lima",132 m² tot.,3 dorm.,"S/ 4,092 · USD 1,100"
"BATALLA JUNIN, BARRANCO","Barranco, Lima",283 m² tot.,3 dorm.,"S/ 13,300 · USD 3,500"
Jorge Basadre 1545,"San Isidro, Lima",90 m² tot.,1 dorm.,"S/ 4,000 · USD 1,000"
NULL,NULL,NULL,NULL,NULL
Jr Arturo Garcia Salazar,"Los Rosales, Santiago de Surco",120 m² tot.,3 dorm.,"S/ 2,800"
avenida LIMA POLO 200,"Santiago de Surco, Lima",268 m² tot.,4 dorm.,"S/ 8,074 · USD 2,100"
Exclusivo Flat Full Amoblado con una Amplia Terraza con Vista al Mar,"Malecon Reserva, Miraflores",230 m² tot.,3 dorm.,"S/ 7,500 · USD 2,000"
Calle Pedro Martinto 114,"Barranco, Lima",62 m² tot.,1 dorm.,"S/ 2,600"
Calle Los Olivos,"Lima, Lima",56 m² tot.,2 dorm.,"S/ 2,660 · USD 700"
"Malecón de la Marina 1006, Miraflores","Miraflores, Lima",95 m² tot.,1 dorm.,"S/ 3,906 · USD 1,050"
San Antonio,"San Antonio, Miraflores",320 m² tot.,4 dorm.,"S/ 18,500 · USD 930,000"
"Malecón Pazos, Barranco, Perú","Barranco, Lima",270 m² tot.,3 dorm.,"S/ 12,025 · USD 3,250"
Departamento de 3 Hab + Servicios en Calle Madrid Miraflores,"Jose Balta, Miraflores",110 m² tot.,3 dorm.,"S/ 3,600 · USD 950"
CALLE UGARTE y MOSCOSO 960,"San Isidro, Lima",350 m² tot.,4 dorm.,"S/ 20,900 · USD 5,500"
Calle San Camilo 125,"Santiago de Surco, Lima",100 m² tot.,3 dorm.,"S/ 3,626 · USD 980"
av. circunvalacion el club el gol los incas 148,"Club Golf Los Incas, Santiago de Surco",230 m² tot.,3 dorm.,"S/ 9,250 · USD 2,100"
Av. Parque Sur al 400,"San Isidro, Lima",279 m² tot.,4 dorm.,"S/ 8,625 · USD 2,300"
"El Olivar, San Isidro","El Olivar, San Isidro",500 m² tot.,6 dorm.,"S/ 22,600 · USD 6,000"
"Pasaje Sucre 154, Miraflores","Leuro, Miraflores",60 m² tot.,1 dorm.,"S/ 2,470 · USD 650"
Cerca AL Parque Gonzales Prada Y AV. Javier Prado,"Magdalena, Lima",57 m² tot.,2 dorm.,"S/ 2,550 · USD 670"
AV. EL SOL Oeste 13X,"Barranco, Lima",50 m² tot.,1 dorm.,"S/ 2,900 · USD 800"
Malecón de la Reserva 500,"Miraflores, Lima",165 m² tot.,3 dorm.,"S/ 5,625 · USD 1,500"
"Golf Millenium, San Isidro","San Isidro, Lima",215 m² tot.,3 dorm.,"S/ 7,400 · USD 2,000"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
El Rosario,"Golf, San Isidro",214 m² tot.,3 dorm.,"S/ 7,430 · USD 2,000"
"Avenida Grau 1540, Barranco","Barranco, Lima",35 m² tot.,1 dorm.,"S/ 2,169 · USD 580"
Juan Norberto Elespuru al 700,"Magdalena, Lima",55 m² tot.,1 dorm.,"S/ 2,660 · USD 700"
NULL,NULL,NULL,NULL,NULL
Camino Real,"San Isidro, Lima",55 m² tot.,1 dorm.,"S/ 2,808 · USD 750"
ALAMEDA JOSE LEÓN BARANDIARAN 5,"La Planicie, La Molina",600 m² tot.,4 dorm.,"S/ 14,900 · USD 4,000"
Urbanización lima polo Surco,"Santiago de Surco, Lima",230 m² tot.,3 dorm.,"S/ 6,341 · USD 1,700"
NULL,NULL,NULL,NULL,NULL
Calle Roma al 200,"Miraflores, Lima",110 m² tot.,3 dorm.,"S/ 5,049 · USD 1,350"
AV SOL Oeste Cuadra 1,"Barranco, Lima",40 m² tot.,1 dorm.,"S/ 3,040 · USD 800"
"Juan Alfaro, Lima, Perú","Miraflores, Lima",550 m² tot.,5 dorm.,"S/ 25,900 · USD 7,000"
Av José Larco 10xx,"Miraflores, Lima",87 m² tot.,1 dorm.,"S/ 2,850 · USD 750"
Av. Aurelio Miro Quesada ,"San Isidro, Lima",173 m² tot.,2 dorm.,"S/ 5,000 · USD 370,000"
AV. ANDRES TINOCO 510,"Santiago de Surco, Lima",75 m² tot.,2 dorm.,"S/ 1,650 · USD 450"
Calle Casuarina 181 Surquillo,"Los Sauces, Surquillo",74 m² tot.,2 dorm.,"S/ 2,200 · USD 586"
Calle Miguel Seminario 205,"San Isidro, Lima",60 m² tot.,2 dorm.,"S/ 3,515 · USD 950"
PARDO 1300,"Miraflores, Lima",120 m² tot.,3 dorm.,"S/ 4,080 · USD 1,090"
Calle San Martin al 800,"Miraflores, Lima",61 m² tot.,2 dorm.,"S/ 2,917 · USD 780"
AV. PROLONGACION CUSCO 1029,"San Miguel, Lima",134 m² tot.,1 dorm.,"S/ 3,230 · USD 850"
"Calle LOS Lirios, SAN Isidro","San Isidro, Lima",46 m² tot.,1 dorm.,"S/ 2,700 · USD 700"
"Av Tejada, Barranco","Barranco, Lima",93 m² tot.,2 dorm.,"S/ 3,100 · USD 850"
Amarillis 100,"El Polo, Santiago de Surco",220 m² tot.,3 dorm.,"S/ 6,000 · USD 359,000"
torres matos magdalena,"Magdalena, Lima",55 m² tot.,1 dorm.,"S/ 2,600"
Enrique Palacios 1133,"Miraflores, Lima",63 m² tot.,2 dorm.,"S/ 2,828 · USD 750"
Av. Arequipa 2571,"Lince, Lima",41 m² tot.,1 dorm.,"S/ 2,250 · USD 600"
Jirón Coronel Enrique Campos 290,"Las Gardenias, Santiago de Surco",200 m² tot.,3 dorm.,"S/ 3,350 · USD 880"
"Jr.Batalla De Junin 267, Barranco, Perú","Barranco, Lima",371 m² tot.,3 dorm.,"S/ 12,750 · USD 3,200"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
AV.BOLIVAR 2250 FRENTE U.CATÓLICA,"Los Jardines De La Catolica, Pueblo Libre",70 m² tot.,2 dorm.,"S/ 2,100 · USD 560"
av. San Martín al 200,"Barranco, Lima",26 m² tot.,1 dorm.,"S/ 1,710 · USD 450"
Calle Diez Canseco 500 Miraflores,"Miraflores, Lima",60 m² tot.,1 dorm.,"S/ 2,319 · USD 620"
NULL,NULL,NULL,NULL,NULL
loma amarilla,"Santiago de Surco, Lima",135 m² tot.,3 dorm.,"S/ 2,600 · USD 700"
