tipo_de_inmueble,direccion,area_construida,area_total,pisos,dormitorios,baños,cochera,precio_soles,precio_dolares
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Isidro",98.0,98.0,2,2,2,1,2500,672
CASA URBANA EN VENTA,"Arequipa, Arequipa, Characato",169.0,441.0,3,7,8,0,816200,220000
CASA URBANA EN VENTA,"Lima, Lima, Santiago de Surco",200.0,160.0,0,0,0,0,1298500,350000
DEPARTAMENTO EN VENTA,"Lima, Lima, San Miguel",72.5,72.5,5,3,2,0,333900,90000
DEPARTAMENTO FLAT EN ALQUILER,"Arequipa, Arequipa, Tiabaya",0.0,140.3,1,2,1,1,1300,349
DEPARTAMENTO EN VENTA,"Lima, Lima, San Martin de Porres",169.71,169.71,1,4,1,1,408100,110000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",70.0,70.0,2,3,2,1,371000,100000
DEPARTAMENTO EN VENTA,"Lima, Lima, San Borja",80.0,80.0,4,2,2,1,630700,170000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Miraflores",80.0,80.0,2,3,1,0,159530,43000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",117.0,117.0,8,2,3,1,2968,800
CASA DE CAMPO EN VENTA,"Lima, Lima, Ancon",1.0,154.0,1,4,3,1,964600,260000
DEPARTAMENTO EN VENTA,"Lima, Lima, Barranco",73.0,73.0,5,1,2,1,2782,750
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Chorrillos",86.37,0.0,6,3,2,0,356160,96000
CASA URBANA EN VENTA,"Lima, Lima, La Molina",1.0,712.0,2,4,4,7,4637500,1250000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Miraflores",184.0,184.0,3,3,2,1,1020250,275000
DEPARTAMENTO FLAT EN VENTA,"Piura, Piura, Piura",94.97,94.97,5,3,2,1,457814,123400
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Santiago de Surco",72.72,72.72,6,2,2,0,1900,510
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Pueblo Libre",86.5,154.82,5,3,2,0,742000,200000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Pueblo Libre",92.6,171.01,3,3,2,0,779100,210000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Jesus Maria",108.0,108.0,17,3,2,2,799000,214784
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",89.63,89.63,5,2,3,2,704900,190000
DEPARTAMENTO EN VENTA,"Lima, Prov. Const. Del Callao, Callao",109.0,109.0,4,3,2,0,410326,110600
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Miraflores",184.0,184.0,3,3,2,1,1020250,275000
CASA EN VENTA,"Lima, Lima, San Miguel",155.51,215.0,2,5,3,1,1335600,360000
CASA URBANA EN VENTA,"Arequipa, Arequipa, Jacobo Hunter",252.54,70.0,2,3,1,0,241150,65000
DEPARTAMENTO EN VENTA,"Lima, Prov. Const. Del Callao, Callao",151.28,169.28,1,4,4,1,452620,122000
CASA EN ALQUILER,"Lima, Lima, Pueblo Libre",0.0,0.0,8,5,3,1,3000,806
CASA URBANA EN VENTA,"La Libertad, Trujillo, Trujillo",126.0,451.31,0,16,13,0,1075900,290000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Pueblo Libre",58.0,58.0,11,2,2,0,2300,618
CASA DE PLAYA EN VENTA,"Lima, Cañete, Asia",177.41,0.0,3,6,6,2,871850,235000
CASA URBANA EN VENTA,"Lima, Lima, Santiago de Surco",200.0,160.0,0,0,0,0,1298500,350000
CASA EN VENTA,"Lima, Lima, Barranco",348.92,253.99,2,7,5,0,1480290,399000
MINIDEPARTAMENTO EN VENTA,"Arequipa, Arequipa, Arequipa",66.99,66.99,2,2,2,0,296800,80000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Juan de Miraflores",160.0,160.0,2,3,2,0,1900,510
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",70.0,70.0,2,3,2,1,371000,100000
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cerro Colorado",117.0,117.0,7,3,2,1,511980,138000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Santiago de Surco",72.72,72.72,6,2,2,0,1900,510
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",68.54,70.09,2,2,2,0,333900,90000
CASA DE CAMPO EN VENTA,"Lima, Lima, Ancon",1.0,154.0,1,4,3,1,964600,260000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Miguel",78.0,78.0,3,2,2,0,448539,120900
CASA URBANA EN VENTA,"Arequipa, Arequipa, Characato",169.0,441.0,3,7,8,0,816200,220000
CASA URBANA EN VENTA,"La Libertad, Trujillo, Trujillo",126.0,451.31,0,16,13,0,1075900,290000
DEPARTAMENTO FLAT EN ALQUILER,"Ica, Ica, Ica",260.13,264.63,1,6,6,0,7500,2016
CASA DE PLAYA EN CONDOMINIO EN VENTA,"Lima, Cañete, Asia",300.0,750.0,3,5,5,3,2782500,750000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",90.28,102.28,2,2,2,1,664090,179000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Miguel",78.0,78.0,3,2,2,0,448539,120900
CASA EN ALQUILER,"Lima, Lima, Pueblo Libre",0.0,0.0,8,5,3,1,3000,806
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Miraflores",184.0,184.0,3,3,2,1,1020250,275000
CASA URBANA EN VENTA,"Arequipa, Arequipa, Arequipa",1.0,846.01,2,10,2,0,12985000,3500000
DEPARTAMENTO EN VENTA,"Lima, Lima, Pueblo Libre",56.0,56.0,17,2,2,0,326480,88000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",97.0,97.0,3,2,3,2,694000,186559
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Pueblo Libre",86.5,154.82,5,3,2,0,742000,200000
CASA URBANA EN VENTA,"Lima, Lima, Santiago de Surco",200.0,160.0,0,0,0,0,1298500,350000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, La Molina",140.0,200.0,3,4,4,1,908950,245000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Pueblo Libre",92.6,171.01,3,3,2,0,779100,210000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",81.3,84.25,2,3,2,0,608440,164000
DEPARTAMENTO TRIPLEX EN VENTA,"Lima, Lima, Miraflores",167.44,228.73,7,3,3,1,1482516,399600
CASA URBANA EN VENTA,"Lima, Prov. Const. Del Callao, Bellavista",200.0,344.0,2,5,4,1,923790,249000
DEPARTAMENTO EN VENTA,"Lima, Prov. Const. Del Callao, Callao",151.28,169.28,1,4,4,1,452620,122000
DEPARTAMENTO FLAT EN ALQUILER,"Arequipa, Arequipa, Tiabaya",0.0,140.3,1,2,1,1,1300,349
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",70.0,91.0,1,3,2,0,593600,160000
CASA EN VENTA,"Lima, Lima, La Molina",220.0,220.0,2,3,4,2,1446900,390000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Lurigancho",60.0,60.0,4,3,1,0,850,228
CASA DE PLAYA EN VENTA,"Lima, Cañete, San Antonio",150.0,222.0,2,6,4,2,1150100,310000
DEPARTAMENTO TRIPLEX EN VENTA,"Lima, Lima, San Isidro",265.0,401.0,5,4,4,2,2226000,600000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Isidro",161.43,161.43,1,3,2,1,1521100,410000
CASA URBANA EN VENTA,"Arequipa, Arequipa, Yanahuara",140.0,320.0,3,6,6,1,1465450,395000
DEPARTAMENTO DE PLAYA EN VENTA,"Lima, Lima, Ancon",50.0,50.0,1,1,1,0,927500,250000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",81.0,81.0,2,3,2,0,478590,129000
DEPARTAMENTO TRIPLEX EN VENTA,"Lima, Lima, San Isidro",265.0,401.0,5,4,4,2,2226000,600000
CASA DE PLAYA EN VENTA,"Lima, Lima, Ancon",360.0,900.0,3,16,14,0,927500,250000
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cerro Colorado",84.0,84.0,3,3,2,0,319060,86000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",40.0,40.0,9,1,1,0,280476,75600
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",38.0,38.0,5,1,1,0,266452,71820
CASA URBANA EN VENTA,"Lima, Lima, Los Olivos",184.0,220.0,3,4,2,2,1075900,290000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",38.0,38.0,8,1,1,0,266452,71820
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",38.0,38.0,9,1,1,0,266452,71820
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",55.0,55.0,3,2,1,0,385654,103950
CASA EN VENTA,"Lima, Lima, La Molina",220.0,220.0,2,3,4,2,1446900,390000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",40.0,40.0,3,1,1,0,280476,75600
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",40.0,40.0,4,1,1,0,280476,75600
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",40.0,40.0,6,1,1,0,280476,75600
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",40.0,40.0,7,1,1,0,280476,75600
CASA DE PLAYA EN VENTA,"Lima, Cañete, Asia",217.0,217.0,2,5,4,2,1072190,289000
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Lurigancho",90.0,240.0,2,8,2,0,166950,45000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",80.95,80.95,3,3,2,1,3153,850
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lima",103.0,120.0,3,3,2,0,315350,85000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",40.0,40.0,5,1,1,0,280476,75600
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",75.4,77.4,2,3,2,0,556500,150000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",55.0,55.0,8,2,1,0,385654,103950
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",70.4,92.5,1,3,2,0,597310,161000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",40.0,40.0,8,1,1,0,280476,75600
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",70.0,91.0,1,3,2,0,593600,160000
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Mariano Melgar",54.61,54.61,3,2,1,0,230020,62000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Isidro",161.43,161.43,1,3,2,1,1521100,410000
DEPARTAMENTO TRIPLEX EN VENTA,"Lima, Lima, San Isidro",265.0,401.0,5,4,4,2,2226000,600000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Isidro",100.25,100.25,10,2,2,1,3710,1000
CASA URBANA EN VENTA,"Arequipa, Arequipa, Cayma",162.15,264.0,2,4,2,1,946050,255000
DEPARTAMENTO EN VENTA,"Lima, Lima, Lince",92.0,92.0,8,2,2,1,552790,149000
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Lurigancho",90.0,240.0,2,8,2,0,166950,45000
CASA DE PLAYA EN VENTA,"Lima, Cañete, San Antonio",150.0,222.0,2,6,4,2,1150100,310000
DEPARTAMENTO EN VENTA,"Lima, Prov. Const. Del Callao, La Perla",60.0,60.0,2,3,2,0,233359,62900
CASA EN VENTA,"Lima, Lima, La Molina",220.0,220.0,2,3,4,2,1446900,390000
CASA EN VENTA,"Lima, Lima, Carabayllo",0.0,0.0,1,3,2,1,241150,65000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",40.0,40.0,5,1,1,0,280476,75600
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Mariano Melgar",54.61,54.61,3,2,1,0,230020,62000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",55.0,55.0,3,2,1,0,385654,103950
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",70.4,92.5,1,3,2,0,597310,161000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",70.0,91.0,1,3,2,0,593600,160000
DEPARTAMENTO TRIPLEX EN VENTA,"Lima, Lima, Santiago de Surco",265.0,0.0,3,4,4,2,1109290,299000
CASA URBANA EN VENTA,"Lima, Lima, Santiago de Surco",109.0,265.0,4,4,4,2,1109290,299000
CASA URBANA EN VENTA,"Lima, Lima, Los Olivos",184.0,220.0,3,4,2,2,1075900,290000
CASA URBANA EN VENTA,"Lima, Lima, Chorrillos",120.0,360.0,4,4,4,0,519029,139900
CASA DE PLAYA EN VENTA,"Lima, Cañete, Asia",217.0,217.0,2,5,4,2,1072190,289000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",55.0,55.0,9,2,1,0,385654,103950
CASA EN VENTA,"Lima, Lima, Ate",120.0,120.0,2,3,3,1,593600,160000
DEPARTAMENTO FLAT EN VENTA,"Piura, Piura, Piura",49.07,0.0,4,1,1,0,192920,52000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Lurigancho",69.29,78.0,4,4,1,0,222229,59900
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",40.0,40.0,8,1,1,0,280476,75600
CASA URBANA EN ALQUILER,"Lima, Lima, Chaclacayo",240.0,240.0,3,13,13,1,6000,1612
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",80.95,80.95,3,3,2,1,3153,850
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",80.95,80.95,3,3,2,1,3153,850
CASA URBANA EN VENTA,"Lambayeque, Chiclayo, Chiclayo",160.0,480.0,3,13,9,1,1094450,295000
DEPARTAMENTO EN CONDOMINIO EN VENTA,"Lima, Lima, Carabayllo",58.6,58.6,1,3,2,1,170660,46000
CASA URBANA EN VENTA,"Lima, Lima, Rimac",100.0,225.0,3,7,3,0,417375,112500
CASA URBANA EN VENTA,"Lima, Lima, Ate",120.0,198.9,2,4,2,1,816200,220000
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cerro Colorado",77.07,136.34,1,4,3,1,504560,136000
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, La Perla",51.6,46.7,1,1,1,2,251909,67900
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Mariano Melgar",54.61,54.61,3,2,1,0,230020,62000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",81.0,81.0,2,3,2,0,478590,129000
CASA URBANA EN VENTA,"Ica, Ica, Los Aquijes",101.5,92.0,2,4,2,0,166950,45000
CASA EN VENTA,"Lima, Lima, Comas",120.0,480.0,5,18,12,0,1484000,400000
CASA DE PLAYA EN VENTA,"Lima, Cañete, Asia",217.0,217.0,2,5,4,2,1072190,289000
DEPARTAMENTO EN VENTA,"Lima, Prov. Const. Del Callao, La Perla",60.0,60.0,2,3,2,0,233359,62900
DEPARTAMENTO FLAT EN VENTA,"Lambayeque, Chiclayo, Chiclayo",77.52,77.52,4,3,2,0,207760,56000
CASA URBANA EN VENTA,"Arequipa, Arequipa, Arequipa",197.0,399.16,4,8,7,2,1409800,380000
CASA URBANA EN ALQUILER,"Lima, Lima, Chaclacayo",240.0,240.0,3,13,13,1,6000,1612
CASA EN VENTA,"Lima, Lima, Carabayllo",0.0,0.0,1,3,2,1,241150,65000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Ate",68.7,68.7,2,3,2,0,293090,79000
CASA URBANA EN VENTA,"Arequipa, Arequipa, Cerro Colorado",194.4,400.0,3,12,7,2,983150,265000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",128.3,129.3,4,3,2,0,463750,125000
CASA URBANA EN VENTA,"Arequipa, Arequipa, Cerro Colorado",194.4,400.0,3,12,7,2,983150,265000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Barranco",81.93,81.93,2,3,2,1,593229,159900
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Comas",90.0,90.0,4,3,2,0,1100,295
CASA EN VENTA,"Lima, Lima, San Martin de Porres",160.0,285.0,3,8,4,1,630700,170000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Carabayllo",103.66,103.66,3,5,3,0,241150,65000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Magdalena del Mar",189.0,129.0,4,3,2,2,704529,189900
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Lima",58.56,58.56,16,3,2,1,2597,700
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",129.0,129.0,5,3,2,2,6678,1800
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Carabayllo",103.66,103.66,2,5,3,0,293090,79000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Ate",68.7,68.7,2,3,2,0,293090,79000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, San Isidro",48.0,48.0,13,1,1,1,2000,537
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",130.26,130.26,3,3,2,2,853300,230000
CASA URBANA EN VENTA,"Lima, Lima, Lima",147.5,400.0,4,8,8,2,2226000,600000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Lince",74.18,74.18,6,3,2,1,3190,860
CASA URBANA EN VENTA,"Lima, Lima, Chorrillos",160.0,228.0,3,4,3,1,1001700,270000
CASA URBANA EN ALQUILER,"Cajamarca, Cajamarca, Los Baños del Inca",250.0,360.0,3,5,4,2,5565,1500
CASA EN VENTA,"Ica, Ica, Ica",160.0,200.0,2,6,3,1,296800,80000
DEPARTAMENTO EN VENTA,"Lima, Lima, La Victoria",60.15,60.15,3,1,1,0,222600,60000
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cayma",163.02,163.02,2,3,3,2,1001700,270000
DEPARTAMENTO PENTHOUSE EN VENTA,"Lima, Lima, San Isidro",344.0,460.0,14,3,3,2,3298190,889000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Santiago de Surco",254.0,401.0,3,5,4,3,2112845,569500
CASA URBANA EN VENTA,"La Libertad, Trujillo, Victor Larco Herrera",88.35,40.0,1,2,1,0,163240,44000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Lima",194.0,194.0,2,6,4,0,667800,180000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Carabayllo",84.92,97.85,1,3,2,0,259700,70000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Lince",74.18,74.18,6,3,2,1,3190,860
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Comas",180.0,170.0,2,2,1,0,1100,295
CASA EN VENTA,"Lima, Lima, San Juan de Miraflores",160.0,160.0,0,7,3,1,1094450,295000
DEPARTAMENTO PENTHOUSE EN VENTA,"Lima, Lima, San Isidro",344.0,460.0,14,3,3,2,3298190,889000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Miraflores",122.0,175.0,9,2,2,1,927500,250000
DEPARTAMENTO EN VENTA,"Lima, Lima, La Victoria",60.15,60.15,3,1,1,0,222600,60000
CASA EN ALQUILER,"Lima, Lima, El Agustino",128.0,128.0,0,4,1,1,3700,994
DEPARTAMENTO EN ALQUILER,"Lima, Lima, San Isidro",48.0,48.0,13,1,1,1,2000,537
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Santiago de Surco",86.0,86.0,1,3,2,0,2300,618
CASA URBANA EN VENTA,"Lima, Lima, La Molina",727.0,540.0,3,4,6,2,4637500,1250000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Santiago de Surco",149.0,188.0,4,3,2,2,1087030,293000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Rimac",81.43,81.43,2,2,1,0,1300,349
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Santiago de Surco",122.45,122.45,3,4,2,1,3200,860
MINIDEPARTAMENTO EN ALQUILER,"Lima, Lima, Rimac",51.33,51.33,2,1,1,0,900,241
CASA URBANA EN VENTA,"Lima, Lima, Chorrillos",160.0,228.0,3,4,3,1,1001700,270000
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cayma",163.02,163.02,2,3,3,2,1001700,270000
CASA URBANA EN ALQUILER,"Lima, Lima, San Martin de Porres",120.0,109.0,1,3,1,1,1200,322
CASA URBANA EN VENTA,"Lima, Lima, Lima",147.5,400.0,4,8,8,2,2226000,600000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Santiago de Surco",254.0,401.0,3,5,4,3,2112845,569500
CASA URBANA EN VENTA,"La Libertad, Trujillo, Victor Larco Herrera",88.35,40.0,1,2,1,0,163240,44000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",106.0,106.0,12,2,2,1,742000,200000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Lince",73.8,73.8,4,2,2,1,2700,725
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Lima",194.0,194.0,2,6,4,0,667800,180000
CASA EN VENTA,"Ica, Ica, Ica",160.0,200.0,2,6,3,1,296800,80000
CASA EN VENTA,"Lambayeque, Chiclayo, La Victoria",0.0,0.0,0,0,0,0,60000,16129
CASA EN VENTA,"Lima, Lima, Ate",303.0,150.0,2,5,2,0,1183490,319000
CASA URBANA EN VENTA,"Lima, Lima, San Martin de Porres",71.0,125.0,2,4,2,0,252280,68000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",69.17,69.17,2,2,2,0,270830,73000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",122.0,122.0,11,2,2,1,4452,1200
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cayma",109.02,121.0,3,3,2,1,589890,159000
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cayma",115.52,117.75,5,3,2,1,582470,157000
DEPARTAMENTO EN VENTA,"Lima, Lima, San Martin de Porres",33.01,117.13,3,2,1,0,241150,65000
CASA EN VENTA,"Lima, Cañete, Cerro Azul",275.02,0.0,0,0,0,0,92750,25000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",103.0,103.0,6,3,2,1,779100,210000
CASA URBANA EN VENTA,"Lima, Lima, San Martin de Porres",90.0,190.0,3,7,2,0,352450,95000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Comas",57.0,57.0,14,3,2,0,830,223
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Pueblo Libre",82.75,82.75,14,2,3,0,369145,99500
CASA URBANA EN VENTA,"Arequipa, Islay, Mollendo",500.0,261.98,3,8,8,3,1113000,300000
CASA URBANA EN VENTA,"Ica, Pisco, Pisco",225.0,80.0,1,3,2,0,176225,47500
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Ate",76.12,76.12,3,2,1,0,293090,79000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, La Molina",75.0,75.0,2,2,2,0,2300,620
CASA URBANA EN VENTA,"Lima, Lima, Ate",294.0,720.0,4,16,14,2,1187200,320000
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Lurigancho",99.0,320.0,4,8,4,0,779100,210000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Barranco",58.0,58.0,0,2,1,0,1855,500
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cerro Colorado",78.99,84.75,1,3,2,0,352450,95000
CASA EN VENTA,"Arequipa, Arequipa, Cerro Colorado",252.49,300.0,3,0,0,2,667800,180000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lince",69.27,69.27,4,2,2,0,356160,96000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Isidro",79.68,130.26,10,2,2,1,827981,222575
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Isidro",76.72,132.41,10,2,2,1,814412,218927
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Breña",65.75,65.75,1,2,2,0,436819,117424
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",108.0,108.0,3,3,1,0,575050,155000
CASA URBANA EN VENTA,"Lima, Lima, San Isidro",360.0,442.5,3,5,5,2,2522800,680000
CASA EN VENTA,"Lambayeque, Chiclayo, La Victoria",0.0,0.0,0,0,0,0,60000,16129
CASA URBANA EN VENTA,"Lima, Lima, Ancon",202.0,50.0,1,5,2,0,204050,55000
CASA URBANA EN VENTA,"Lima, Lima, Lima",160.0,320.0,2,7,3,0,1669500,450000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",122.0,122.0,11,2,2,1,4452,1200
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",69.17,69.17,2,2,2,0,270830,73000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Martin de Porres",76.0,76.0,0,3,1,0,185500,50000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",40.0,40.0,0,1,1,0,280476,75600
CASA URBANA EN VENTA,"San Martin, San Martín, Morales",104.0,215.0,3,3,2,0,575000,154569
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",103.0,103.0,6,3,2,1,779100,210000
DEPARTAMENTO EN VENTA,"Lima, Lima, San Martin de Porres",33.01,117.13,3,2,1,0,241150,65000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lima",72.3,72.3,3,3,2,0,293090,79000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",108.0,108.0,3,3,1,0,575050,155000
CASA URBANA EN VENTA,"Lima, Lima, Lurigancho",280.0,210.0,2,9,5,1,556500,150000
CASA EN VENTA,"Lima, Lima, Carabayllo",120.6,55.6,1,3,1,0,200340,54000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",38.0,38.0,0,1,1,0,266452,71820
CASA EN VENTA,"Arequipa, Arequipa, Cerro Colorado",252.49,300.0,3,0,0,2,667800,180000
DEPARTAMENTO EN CONDOMINIO EN VENTA,"Lima, Lima, Rimac",51.2,51.2,11,2,1,0,185462,49990
CASA URBANA EN VENTA,"Arequipa, Islay, Mollendo",500.0,261.98,3,8,8,3,1113000,300000
CASA EN VENTA,"Lambayeque, Chiclayo, La Victoria",0.0,0.0,0,0,0,0,60000,16129
DEPARTAMENTO EN CONDOMINIO EN ALQUILER,"Lima, Lima, Lima",68.45,68.45,8,3,2,0,1800,483
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Lurigancho",99.0,320.0,4,8,4,0,779100,210000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",40.0,40.0,0,1,1,0,280476,75600
CASA URBANA EN VENTA,"Lima, Lima, Ate",294.0,720.0,4,16,14,2,1187200,320000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Martin de Porres",76.0,76.0,0,3,1,0,185500,50000
CASA EN VENTA,"Lima, Lima, San Martin de Porres",140.0,220.0,3,4,2,1,871850,235000
CASA EN VENTA,"Arequipa, Arequipa, Yanahuara",162.9,164.08,2,4,2,3,1131550,305000
