tipo_de_inmueble,direccion,area_construida,area_total,pisos,dormitorios,baños,cochera,precio_soles,precio_dolares
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",113.0,113.0,4,3,2,1,649250,175000
DEPARTAMENTO FLAT EN VENTA,"La Libertad, Trujillo, Trujillo",85.0,85.0,3,3,3,1,445200,120000
DEPARTAMENTO FLAT EN VENTA,"Lambayeque, Chiclayo, Chiclayo",60.76,60.76,3,2,1,0,185500,50000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Santiago de Surco",65.0,65.0,3,2,2,1,2400,645
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Juan de Miraflores",56.0,56.0,3,2,1,0,1000,268
CASA URBANA EN VENTA,"Lambayeque, Chiclayo, Pimentel",125.0,375.0,3,10,5,0,600000,161290
CASA EN VENTA,"Lima, Lima, Independencia",200.0,300.0,2,0,0,0,575050,155000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, San Borja",120.0,120.0,2,3,2,1,5194,1400
DEPARTAMENTO EN CONDOMINIO EN VENTA,"Lima, Lima, Santiago de Surco",74.57,74.57,15,3,2,2,408100,110000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Borja",94.06,94.06,5,3,2,0,445200,120000
CASA URBANA EN VENTA,"Arequipa, Arequipa, Cerro Colorado",120.0,211.47,3,6,5,1,742000,200000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",68.08,68.08,4,2,2,0,2800,752
CASA URBANA EN VENTA,"Lambayeque, Chiclayo, Chiclayo",69.76,69.76,1,2,1,0,204050,55000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",85.0,117.0,1,3,2,1,649250,175000
DEPARTAMENTO DUPLEX EN ALQUILER,"Lima, Lima, Miraflores",134.83,203.73,7,3,3,2,5936,1600
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",107.4,107.4,2,3,3,1,4266,1150
CASA URBANA EN VENTA,"Lima, Lima, Ate",120.0,120.0,2,3,3,1,964600,260000
CASA EN VENTA,"Lima, Prov. Const. Del Callao, Callao",160.0,122.0,1,3,2,3,593600,160000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Chorrillos",87.0,97.0,1,3,2,1,463750,125000
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Lurigancho",90.0,90.0,2,2,3,0,178080,48000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, La Victoria",52.74,52.74,6,2,2,0,2500,672
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Miraflores",69.42,69.42,2,2,2,0,270000,72580
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Jesus Maria",40.0,40.0,16,1,1,0,1202040,324000
DEPARTAMENTO EN VENTA,"Lima, Lima, Chorrillos",87.0,87.0,3,3,2,0,315350,85000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",71.0,71.0,6,1,1,1,2671,720
CASA EN VENTA,"Lima, Lima, San Martin de Porres",236.0,236.0,0,3,2,0,445200,120000
DEPARTAMENTO EN ALQUILER,"Lima, Prov. Const. Del Callao, La Perla",37.62,37.62,17,1,1,0,1250,336
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Isidro",105.0,105.0,9,2,3,1,3802,1025
CASA URBANA EN VENTA,"Arequipa, Arequipa, Sachaca",130.0,60.0,3,3,2,1,482300,130000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Martin de Porres",120.0,120.0,1,3,2,0,1300,349
CASA URBANA EN VENTA,"Lima, Lima, Santiago de Surco",356.71,322.69,2,5,3,2,2682330,723000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Comas",90.0,90.0,1,1,1,0,600,161
CASA URBANA EN VENTA,"Tacna, Tacna, Tacna",120.0,183.02,3,4,3,0,575050,155000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Comas",100.0,100.0,3,2,1,0,800,215
CASA URBANA EN ALQUILER,"Lima, Lima, Breña",328.0,750.0,3,18,6,0,14098,3800
CASA URBANA EN VENTA,"Lima, Lima, Breña",328.0,750.0,3,15,6,0,2578450000,695000000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Comas",60.0,60.0,3,2,1,0,650,174
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Santiago de Surco",95.0,132.0,5,2,3,1,946050,255000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Los Olivos",103.0,103.0,3,4,2,0,1650,443
MINIDEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Jose Luis Bustamante Y Rivero",8.0,8.0,3,1,1,0,500,134
MINIDEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Arequipa",7.0,7.0,2,1,1,0,400,107
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Borja",262.5,282.5,4,4,4,0,1472870,397000
MINIDEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Arequipa",8.0,8.0,2,1,1,0,600,161
MINIDEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Jose Luis Bustamante Y Rivero",7.0,7.0,2,1,1,0,600,161
MINIDEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Arequipa",7.0,7.0,2,1,1,0,400,107
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Puente Piedra",50.0,50.0,0,2,2,0,800,215
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",123.63,123.63,2,3,1,0,612150,165000
