direccion,distrito,metraje,dormitorios,precio
La Cumbre,"Santiago de Surco, Lima",1000 m² tot.,4 dorm.,"S/ 3,537,900 · USD 950,000"
Tacna 380,"Magdalena, Lima",50 m² tot.,1 dorm.,"S/ 305,000 · USD 82,000"
Amarillis 100,"El Polo, Santiago de Surco",220 m² tot.,3 dorm.,"S/ 1,328,300 · USD 359,000"
SAN BORJA,"San Borja Norte, San Borja",486 m² tot.,5 dorm.,"S/ 2,553,000 · USD 690,000"
"Av. Encalada cuadra 13 esquina con Aldebarán Surco, Lima","Santiago de Surco, Lima",83 a 125 m² tot.,3 dorm.,"S/ 668,885"
"Av. San Felipe 720, Jesús Maria","Jesús María, Lima",46 a 89 m² tot.,1 a 3 dorm.,"S/ 364,000 · USD 131,000"
Av. Aflredo Benavides 2543,"Los Tulipanes, Miraflores",73 a 224 m² tot.,1 a 2 dorm.,"S/ 530,399"
Av. Andrés Aramburú 962,"Surquillo, Lima",51 a 69 m² tot.,2 a 3 dorm.,"S/ 394,290"
Av. Paseo de la República N° 4117,"Limatambo, Surquillo",39 a 78 m² tot.,1 a 3 dorm.,"S/ 316,428"
Av. Reducto 1505,"Miraflores, Lima",60 a 114 m² tot.,2 a 3 dorm.,"S/ 565,600"
Av. Rafael Escardo Aguirre N° 530,"Maranga Etapa Vii, San Miguel",46 a 98 m² tot.,1 a 3 dorm.,"S/ 329,000"
Av. Pardo 1051,"Miraflores, Lima",80 a 115 m² tot.,3 dorm.,"S/ 653,000"
Av. Paseo de la República N° 6334 - 6338,"San Antonio, Miraflores",41 a 73 m² tot.,1 a 2 dorm.,"S/ 340,710"
"Av. General Santa Cruz 708, Jesus Maria","Jesús María, Lima",53 a 73 m² tot.,2 a 3 dorm.,"S/ 408,000 · USD 110,270"
Jr Nicolas Rodrigo 250,"Monterrico, Santiago de Surco",47 a 127 m² tot.,1 a 3 dorm.,"S/ 478,000"
Av. Bertolotto 850,"San Miguel, Lima",68 a 78 m² tot.,3 dorm.,"S/ 555,000"
Av. Javier Prado Este 2901,"San Borja, Lima",38 a 72 m² tot.,1 a 3 dorm.,"S/ 319,204"
Av. Javier Prado Oeste 2361,"Magdalena, Lima",38 a 91 m² tot.,1 a 3 dorm.,"S/ 397,865"
AV 28 DE JULIO 1200,"Miraflores, Lima",134 m² tot.,2 dorm.,"S/ 931,000 · USD 245,000"
Laguna Grande al 1200,"Las Lagunas, La Molina",302 m² tot.,3 dorm.,"S/ 1,663,200 · USD 440,000"
Dunas de la Florida,"Subtanjalla, Ica",158 m² tot.,NULL,"S/ 93,624 · USD 24,900"
JR. LOS Olmos Cuadra 1 Urb. ELL Remanso LA Molina,"La Molina, Lima",334 m² tot.,4 dorm.,"S/ 1,766,400 · USD 480,000"
Calle Manuel Pérez De Tudela 1,"Chacarilla Santa Cruz, San Isidro",938 m² tot.,4 dorm.,"S/ 7,087,000 · USD 1,900,000"
"A 2 Minutos de la Unmsm, a 5 Minutos de U. Católica , Salida Rápida a Av. Universitaria","Los Cipreses, Lima Cercado",255 m² tot.,3 dorm.,"S/ 795,270 · USD 210,000"
Av. Cerros de Camacho 106,"Santiago de Surco, Lima",4800 m² tot.,NULL,"S/ 35,720,000 · USD 9,500,000"
Cerca al C.c. La Rambla y al Colegio San Francisco de Borja,"San Borja, Lima",157 m² tot.,5 dorm.,"S/ 724,000 · USD 195,000"
Calle Aricota,"Tambo De Monterrico, Santiago de Surco",275 m² tot.,5 dorm.,"S/ 1,344,096 · USD 360,000"
"Jr. Málaga 101, Surco","Santiago de Surco, Lima",69 m² tot.,2 dorm.,"S/ 684,180 · USD 181,000"
AV. COSTANERA N° 1200 SAN MIGUEL,"Magdalena, Lima",85 m² tot.,3 dorm.,"S/ 536,200 · USD 152,000"
Calle Las Violetas 222 - Surco,"Las Casuarinas, Santiago de Surco",198 m² tot.,3 dorm.,"S/ 1,090,320 · USD 272,580"
Jr. Maria Parado de Bellido 183,"Primavera, Magdalena",125 m² tot.,3 dorm.,"S/ 973,546"
Calle Pontevedra 130 - Urb. Higuereta,"Higuereta, Santiago de Surco",163 m² tot.,3 dorm.,"S/ 1,309,840 · USD 327,460"
Calle Los Nogales,"San Isidro, Lima",71 a 289 m² tot.,2 a 3 dorm.,"S/ 680,538 · USD 179,850"
Av. Esteban Campodónico 447 Urb. Santa Catalina - La Victoria,"Santa Catalina, La Victoria",51 a 82 m² tot.,2 a 3 dorm.,"S/ 345,060"
Jr. Manuel del Pino 238-240,"Santa Beatriz, Lima Cercado",47 a 83 m² tot.,1 a 3 dorm.,"S/ 322,000"
Av San Borja Sur 291,"San Borja Sur, San Borja",99 a 229 m² tot.,2 a 4 dorm.,"S/ 738,470 · USD 195,000"
Av. Javier prado este 1095,"La Victoria, Lima",44 a 83 m² tot.,1 a 3 dorm.,"S/ 325,000"
Calle Santa Dora 168,"Santiago de Surco, Lima",120 a 224 m² tot.,3 dorm.,"S/ 909,220 · USD 244,000"
AVENIDA LOS PATRIOTAS 418-424,"San Miguel, Lima",38 a 79 m² tot.,1 a 3 dorm.,"S/ 256,000"
Av. Javier Prado Este,"Jardin, San Isidro",25 a 71 m² tot.,1 a 3 dorm.,"S/ 270,000"
Av. Militar 1727,"Lince, Lima",37 a 66 m² tot.,1 a 3 dorm.,"S/ 239,463"
Av. Talara 765,"Jesús María, Lima",57 a 76 m² tot.,2 a 3 dorm.,"S/ 466,900"
Av. Javier Prado Este 1091,"Santa Catalina, La Victoria",53 a 91 m² tot.,2 a 3 dorm.,"S/ 361,290"
Jr. Lampa 1237 Lima,"Lima Cercado, Lima",40 a 84 m² tot.,1 a 3 dorm.,"S/ 320,000"
Acacias 694 Los Condores Chaclacayo,"Los Condores, Chaclacayo",15185 m² tot.,4 dorm.,"S/ 12,160,000 · USD 3,200,000"
Jr. De Los Conquistadores N°379,"La Molina, Lima",96 m² tot.,3 dorm.,"S/ 499,500 · USD 135,000"
jiron el rocio 392 Surco,"Higuereta, Santiago de Surco",158 m² tot.,4 dorm.,"S/ 709,100 · USD 190,000"
34 D12,"San Isidro, Lima",408 m² tot.,NULL,"S/ 4,418,820 · USD 1,169,000"
"CALLE CENTRAL 754, SURCO","Los Alamos De Monterrico, Santiago de Surco",396 m² tot.,4 dorm.,"S/ 2,993,000 · USD 789,000"
AV.UNIVERSITARIA CERCA U.CATÓLICA Y UNMSM 1ER.PISO 100M2 3DORM. PATIO,"Los Jardines De La Catolica, Pueblo Libre",100 m² tot.,3 dorm.,"S/ 506,000 · USD 136,000"
Ovalo Bolognesi,"Miraflores, Lima",120 m² tot.,2 dorm.,"S/ 738,000 · USD 197,000"
Condominio el Encanto de san Diego,"San Martín de Porres, Lima",60 m² tot.,3 dorm.,"S/ 160,000 · USD 42,000"
AV DOS DE MAYO SAN ISIDRO,"San Isidro, Lima",134 m² tot.,3 dorm.,"S/ 761,090 · USD 203,500"
Av. Aurelio Miro Quesada ,"San Isidro, Lima",173 m² tot.,2 dorm.,"S/ 1,406,000 · USD 370,000"
Av. Javier Prado Oeste 2165 - 2177,"Orrantia, San Isidro",67 a 153 m² tot.,1 a 3 dorm.,"S/ 572,672 · USD 152,712"
Av. Alejandro Tirado 731,"Santa Beatriz, Lima Cercado",41 a 109 m² tot.,1 a 3 dorm.,"S/ 260,666"
Av. Razuri 243 - 247,"San Miguel, Lima",32 a 88 m² tot.,1 a 4 dorm.,"S/ 261,111"
Calle Batallón Concepción 153,"Chacarilla Del Estanque, Santiago de Surco",66 a 197 m² tot.,2 a 3 dorm.,"S/ 551,000 · USD 145,000"
Av. Malecón Bertolotto 760,"San Miguel, Lima",33 a 177 m² tot.,1 a 4 dorm.,"S/ 235,830"
