direccion,distrito,metraje,dormitorios,Precio Soles,Precio Dolares
Gracia,"Los Olivos, Lima",101 m² tot.,3 dorm.,"363,580.00","98,000.00"
Bielovucic Cavalier,"San Borja, Lima",243 m² tot.,4 dorm.,"1,554,000.00","420,000.00"
Arturo Aguilar xxx,"Vista Alegre, Santiago de Surco",123 m² tot.,3 dorm.,"834,940.00","218,000.00"
calle flora tristan,"Magdalena, Lima",230 m² tot.,3 dorm.,"1,254,000.00","330,000.00"
"Av. Arequipa 5020, Miraflores","Miraflores, Lima",223 m² tot.,4 dorm.,"1,239,500.00","335,501.00"
Pasaje Valparaiso,"La Perla, Callao",120 m² tot.,3 dorm.,"440,452.00","116,000.00"
Urb. Los olivos de santa Rosa Mz G,"Los Olivos De Santa Rosa, San Martín de Porres",1677 m² tot.,19 dorm.,"2,312,600.00","620,000.00"
"Av. La Floresta 240, Chacarilla, Surco","Chacarilla, San Borja",483 m² tot.,3 dorm.,"4,444,800.00","1,200,000.00"
Calle Petrel 180,"Sagitario, Santiago de Surco",108 m² tot.,3 dorm.,"432,000.00","120,000.00"
Calle 3,"Santa Raquel Etapa Iii, Ate Vitarte",92 m² tot.,3 dorm.,"431,250.00","115,000.00"
Jr. Tobago,"Los Cedros De Villa, Chorrillos",263 m² tot.,6 dorm.,"695,600.00","185,000.00"
AURELIO MIRO QUESADA,"San Isidro, Lima",256 m² tot.,3 dorm.,"2,730,600.00","740,000.00"
Calle Isla Mazorca 184,"San Miguel, Lima",223 m² tot.,6 dorm.,"977,114.00","257,000.00"
Calle El Rosario,"Santa Cruz, Miraflores",164 m² tot.,3 dorm.,"1,233,375.00","303,000.00"
Calle Jose Gonzales 64x,"Miraflores, Lima",166 m² tot.,2 dorm.,"1,517,000.00","410,000.00"
Calle Genova,"Achirana, Santa Anita",159 m² tot.,5 dorm.,"832,500.00","225,000.00"
Jr Tampumachay 153,"Tambo De Monterrico, Santiago de Surco",230 m² tot.,3 dorm.,"1,287,000.00","346,000.00"
Dirección no informada,"San Antonio, Miraflores",114 m² tot.,3 dorm.,"777,000.00","210,000.00"
Calle Monte Cedro 602.,"Monterrico, Santiago de Surco",364 m² tot.,6 dorm.,"1,276,500.00","345,000.00"
jiron kotosh 1218,"Mangomarca, San Juan de Lurigancho",86 m² tot.,3 dorm.,"292,000.00","78,000.00"
CALLE PIURA,"Miraflores, Lima",227 m² tot.,3 dorm.,"1,709,030.00","461,900.00"
Mina Perdida,"Pachacamac, Lima",2948 m² tot.,7 dorm.,"2,405,000.00","650,000.00"
Av. Bolognesi 714,"San Antonio, Cayma",185 m² tot.,3 dorm.,"800,000.00","215,000.00"
Jr. Belisario Flores - 334,"Risso, Lince",115 m² tot.,4 dorm.,"483,600.00","130,000.00"
"Calle Trinidad Moran 160, Lince","Lince, Lima",41 m² tot.,1 dorm.,"339,000.00","90,001.00"
"Jirón Emancipación N° 2xx, Dpto. 303","Monterrico, Santiago de Surco",172 m² tot.,3 dorm.,"1,171,800.00","310,000.00"
Calle Hermilio Valdizan,"Callao, Lima",164 m² tot.,4 dorm.,"888,000.00","240,000.00"
28 de Julio y Los Jazmines,"San Martín de Porres, Lima",250 m² tot.,9 dorm.,"712,500.00","190,000.00"
San Isidro,"San Isidro, Trujillo",119 m² tot.,4 dorm.,"1,044,400.00","280,000.00"
Jirón general Vidal villa María del triunfo,"Villa María del Triunfo, Lima",268 m² tot.,8 dorm.,"664,090.00","179,000.00"
Dirección no informada,"Golf, San Isidro",164 m² tot.,3 dorm.,"1,147,000.00","310,000.00"
Ugarte y Moscoso,"Magdalena, Lima",66 m² tot.,2 dorm.,"630,000.00","170,270.27"
Ugarte y Moscoso,"Magdalena, Lima",46 m² tot.,1 dorm.,"412,000.00","111,351.35"
Av Velasco Astete 1443,"Santiago de Surco, Lima",108 m² tot.,3 dorm.,"855,000.00","231,000.00"
ROM. SANTA CRUZ MIRAFLORES,"Santa Cruz, Miraflores",152 m² tot.,3 dorm.,"1,234,000.00","328,250.00"
Francisco Mostajo 166,"Barrio Medico, Surquillo",87 m² tot.,2 dorm.,"494,000.00","130,000.00"
urbanizacion santa elvira ate,"Santa Elvira, Ate Vitarte",93 m² tot.,3 dorm.,"347,800.00","94,000.00"
Cl Ramón Zavala cdra 1 - Urb. La Perla,"La Perla, La Perla",139 m² tot.,13 dorm.,"967,200.00","260,000.00"
jiron Raimondi 355,"Magdalena, Lima",97 m² tot.,3 dorm.,"632,060.00","169,000.00"
Calle Manco Capac 4,"Miraflores, Lima",169 m² tot.,3 dorm.,"1,040,000.00","275,000.00"
Calle Monte Caoba 400,"Monterrico Chico, Santiago de Surco",310 m² tot.,4 dorm.,"1,980,000.00","530,000.00"
Calle Mauricio Casatti Nro.190 Dpto. 401 San Borja,"San Borja, Lima",123 m² tot.,3 dorm.,"710,600.00","190,000.00"
urb. coviti san martin de porres,"Coviti, San Martín de Porres",61 m² tot.,2 dorm.,"194,000.00","52,000.00"
AV. REPUBLICA DE CHILE,"Jesús María, Lima",35 m² tot.,1 dorm.,"179,568.00","48,000.00"
JOSE LEON BARANDIARAN,"La Planicie, La Molina",395 m² tot.,3 dorm.,"2,435,400.00","660,000.00"
"Jr. El Camino 163, La Molina","La Molina, Lima",174 m² tot.,3 dorm.,"1,332,000.00","350,000.00"
AV QUEBRADA VERDE CONDOMINIO VILLA VERDA PACHACAMAC,"Quebrada Verde, Pachacamac",91 m² tot.,3 dorm.,"169,500.00","45,500.00"
Urbanizacion Honor y Lealtad Calle Cabezas Mora Victor,"Honor Y Lealtad, Santiago de Surco",999 m² tot.,3 dorm.,"633,777.00","170,000.00"
AREQUIPA CON JAVIER PRADO,"Lince, Lima",91 m² tot.,2 dorm.,"510,186.00","138,000.00"
"José Gabriel Charriarse 1180, Lima 15801, Perú","San Juan de Miraflores, Lima",160 m² tot.,5 dorm.,"1,007,000.00",265.00
Calle Los Manzanos - San Isidro,"Los Manzanos, San Isidro",291 m² tot.,5 dorm.,"2,500,000.00","700,000.00"
Mariategui,"Sima, La Perla",168 m² tot.,5 dorm.,"858,000.00","229,000.00"
Jirón Hermano Santos Garcia 265,"Valle Hermoso, Santiago de Surco",100 m² tot.,3 dorm.,"610,500.00","165,000.00"
Av Coronel Reynaldo Vivanco 243. Urb. Santa Teresa. Surco,"Santa Teresa, Santiago de Surco",266 m² tot.,3 dorm.,"1,512,500.00","398,000.00"
Pasaje 25 193,"Corpac, San Isidro",131 m² tot.,3 dorm.,"871,700.00","230,000.00"
"Av. España 741, Breña","Breña, Lima",94 m² tot.,3 dorm.,"428,950.00","115,000.00"
Federico Gallesi Taricchi 660 San Miguel,"San Miguel, San Miguel",92 m² tot.,3 dorm.,"450,000.00","120,000.00"
av. loma de los susiros 197,"Santiago de Surco, Lima",67 m² tot.,3 dorm.,"455,620.00","119,900.00"
Jiron Eduardo Carrasco 150,"Magdalena, Lima",85 m² tot.,3 dorm.,"741,000.00","195,000.00"
Calle universo 305,"La Campiña, Chorrillos",83 m² tot.,3 dorm.,"341,000.00","98,000.00"
AV. CIRCUNVALACION GOLF LOS INCAS 404,"Golf Los Incas, Santiago de Surco",700 m² tot.,4 dorm.,"3,468,600.00","940,000.00"
islas azores,"Benjamin Doig Etapa I, La Perla",131 m² tot.,4 dorm.,"376,000.00","99,000.00"
Ricardo Palma,"Miraflores, Lima",122 m² tot.,2 dorm.,"785,445.00","210,000.00"
Calle Santa Isabel - Miraflores,"Armendariz, Miraflores",197 m² tot.,4 dorm.,"1,773,750.00","473,000.00"
Chamberi,"Miraflores, Lima",237 m² tot.,2 dorm.,"2,216,300.00","599,000.00"
Enrique Palacios,"Miraflores, Lima",135 m² tot.,3 dorm.,"851,500.00","230,000.00"
CALLE LOS NEGOCIOS,"Surquillo, Lima",81 m² tot.,3 dorm.,"590,000.00","160,000.00"
JR. IGNACIO MARIATEGUI 112,"Tejadita, Barranco",62 m² tot.,3 dorm.,"333,000.00","90,000.00"
La Rueda 157,"La Planicie, La Molina",1005 m² tot.,4 dorm.,"3,187,500.00","850,000.00"
URB LOS SAUCES,"Los Sauces, Chorrillos",62 m² tot.,3 dorm.,"225,000.00","60,000.00"
Av. San Felipe,"Oyague, Jesús María",44 m² tot.,1 dorm.,"375,000.00","101,500.00"
Calle Coronel Dianderas,"San Miguel, Lima",415 m² tot.,6 dorm.,"1,128,500.00","310,000.00"
"Dante Gabriel Rosetti 165, San Borja 15037, Perú","San Borja, Lima",201 m² tot.,3 dorm.,"1,030,399.00","280,000.00"
km,"Costa Del Sol, Asia",200 m² tot.,4 dorm.,"1,900,000.00","500,000.00"
Enrique Campos,"Santiago de Surco, Lima",135 m² tot.,3 dorm.,"931,000.00","245,000.00"
Calle,"Mariscal Ramon Castilla, San Borja",618 m² tot.,6 dorm.,"2,576,400.00","690,000.00"
Playa Señoritas Punta Hermosa,"Punta Hermosa, Lima",110 m² tot.,3 dorm.,"847,400.00","223,000.00"
Calle Espaderos,"Santiago de Surco, Lima",110 m² tot.,3 dorm.,"912,000.00","240,000.00"
Urb. SAN Andres,"San Andres, Trujillo",158 m² tot.,3 dorm.,"624,960.00","168,000.00"
MARCONA,"Higuereta, Santiago de Surco",186 m² tot.,3 dorm.,"1,197,000.00","315,000.00"
Urb. San Diego,"San Martín de Porres, Lima",105 m² tot.,3 dorm.,"262,200.00","69,000.00"
Esteban Campodónico,"Santa Catalina, La Victoria",80 m² tot.,3 dorm.,"480,700.00","126,500.00"
San bartolo,"San Bartolo, Lima",68 m² tot.,2 dorm.,"285,000.00","77,000.00"
JR. Monte DE OCA 133,"Santiago de Surco, Lima",175 m² tot.,3 dorm.,"1,098,200.00","289,000.00"
Calle Santa Cruz,"Chorrillos, Lima",115 m² tot.,3 dorm.,"419,000.00","111,000.00"
Calle San Sebastián,"La Molina, Lima",210 m² tot.,3 dorm.,"1,493,400.00","393,000.00"
Dirección no informada,"Aurora, Miraflores",270 m² tot.,3 dorm.,"1,472,000.00","398,000.00"
Jirón Francisco De Zela 920,"Jesús María, Lima",83 m² tot.,2 dorm.,"456,000.00","120,000.00"
En Venta Maravillosa Casa en Palmas Reales,"El Golf, Trujillo",380 m² tot.,5 dorm.,"2,370,000.00","900,000.00"
Bielovucic Cavalier 200,"Chacarilla Del Estanque, San Borja",412 m² tot.,4 dorm.,"2,382,000.00","630,000.00"
altura cuadra 13 Av. Acapulco. Sol de la molina 3ra etapa,"El Sol De La Molina Et.3, La Molina",300 m² tot.,4 dorm.,"1,951,850.00","515,000.00"
FLORA TRISTAN,"La Molina, Lima",130 m² tot.,4 dorm.,"490,000.00","134,000.00"
AV UNIVERSITARIA 1951,"Colmenares, Pueblo Libre",97 m² tot.,3 dorm.,"480,000.00","128,000.00"
Jirón América 219 tres compuertas,"San Juan de Lurigancho, Lima",118 m² tot.,3 dorm.,"374,200.00","99,800.00"
Jorge Buckley,"Miraflores, Lima",131 m² tot.,3 dorm.,"758,500.00","205,000.00"
paseo de la republica,"San Antonio, Miraflores",72 m² tot.,2 dorm.,"500,000.00","130,000.00"
Chongoyape 253,"Arboleda De Maranga, San Miguel",160 m² tot.,10 dorm.,"1,309,000.00","350,000.00"
Octavio Espinosa Cdra 1 Dpto 102,"San Isidro, Lima",215 m² tot.,3 dorm.,"1,862,000.00","490,000.00"
Dirección no informada,"Las Gardenias, Santiago de Surco",140 m² tot.,4 dorm.,"1,296,000.00","360,000.00"
Calle Tegucigalpa 176,"Los Laureles, Chorrillos",220 m² tot.,6 dorm.,"716,000.00","190,000.00"
Av Pardo 570,"Miraflores, Lima",60 m² tot.,1 dorm.,"660,000.00","178,000.00"
av del aire 1025 san luis,"Del Aire, San Luis",69 m² tot.,3 dorm.,"346,500.00","91,500.00"
CALLE ODRIOZOLA,"San Isidro, Lima",68 m² tot.,2 dorm.,"642,105.00","168,975.00"
Richard Strauss al 100,"Santiago de Surco, Lima",87 m² tot.,3 dorm.,"488,800.00","130,000.00"
Conde de la Vega al 100,"Chacarilla Del Estanque, Santiago de Surco",256 m² tot.,4 dorm.,"1,688,240.00","449,000.00"
Panamericana Sur km 121 Lomas del Mar,"Asia, Cañete",350 m² tot.,6 dorm.,"1,037,880.00","270,000.00"
Av. San Borja Norte N°902,"San Borja Norte, San Borja",113 m² tot.,4 dorm.,"560,000.00","150,000.00"
CAYMA,"Cayma, Arequipa",127 m² tot.,3 dorm.,"510,000.00","138,000.00"
Av. Arequipa 1492,"Lince, Lima",50 m² tot.,2 dorm.,"435,420.00","116,000.00"
calle las águilas 382 surquillo Limatambo,"Limatambo, Surquillo",63 m² tot.,2 dorm.,"448,500.00","118,000.00"
"Calle El Salvador Mz V1 Lte 27, La molina","La Molina, Lima",178 m² tot.,4 dorm.,"1,110,000.00","300,000.00"
"Calle Batallon Tarma 1, Chacarilla, Surco","Santa Teresa, Santiago de Surco",189 m² tot.,3 dorm.,"1,032,300.00","279,800.00"
Jiron Pedro Lopez DE Ayala 1355,"San Borja, Lima",224 m² tot.,5 dorm.,"1,058,400.00","280,000.00"
Cobian 178,"Barranco, Lima",73 m² tot.,2 dorm.,"549,405.00","145,000.00"
HIGUERETA,"Higuereta, Santiago de Surco",108 m² tot.,3 dorm.,"795,500.00","215,000.00"
Pamplona alta,"Almirante Miguel Grau, San Juan de Miraflores",160 m² tot.,7 dorm.,"558,000.00","142,000.00"
federico chopin,"Los Alamos De Monterrico, Santiago de Surco",2 m² tot.,4 dorm.,"2,611,000.00","680,000.00"
Calle Ramón Espinoza N°417,"Rímac, Lima",110 m² tot.,2 dorm.,"480,000.00","130,000.00"
Parque Osores N°190,"Pueblo Libre, Lima",166 m² tot.,3 dorm.,"1,012,500.00","270,000.00"
Jiron la paz 197,"Santa Patricia, La Molina",230 m² tot.,4 dorm.,"1,868,250.00","498,000.00"
Avenida los Ingenieros 444,"Los Ingenieros, La Molina",102 m² tot.,3 dorm.,"825,000.00","220,000.00"
Jiron los Civiles 167,"Los Ingenieros, La Molina",360 m² tot.,8 dorm.,"1,726,500.00","470,000.00"
Calle Victor Alzamora 683,"Barrio Medico, Surquillo",72 m² tot.,2 dorm.,"379,000.00","101,000.00"
San Bartolo norte. Av del Golf 840,"Rivera Norte, San Bartolo",260 m² tot.,2 dorm.,"1,295,000.00","340,000.00"
Calle los naranjos,"La Fontana, La Molina",561 m² tot.,4 dorm.,"3,439,800.00","910,000.00"
Av. Puno con San Ramon,"Comas, Lima",246 m² tot.,6 dorm.,"560,875.00","150,773.00"
"Calle Napo, Centro Poblado Mazan","Mazan, Maynas",58 m² tot.,3 dorm.,"167,400.00","35,000.00"
Avenida de la aviación,"Miraflores, Lima",100 m² tot.,2 dorm.,"888,000.00","235,000.00"
Dirección no informada,"Magdalena, Lima",154 m² tot.,4 dorm.,"927,000.00","244,000.00"
Las Dalias al 100,"Pando, San Miguel",370 m² tot.,4 dorm.,"1,487,400.00","402,000.00"
MANCO SEGUNDO,"Lince, Lima",265 m² tot.,3 dorm.,"1,309,965.00","345,000.00"
Av. Cristobal de Peralta Sur,"Santiago de Surco, Lima",92 m² tot.,3 dorm.,"536,000.00",700.00
Dirección no informada,"Valle Hermoso, Santiago de Surco",178 m² tot.,4 dorm.,"997,000.00","270,000.00"
URB MACONDO,"Macondo, Cayma",202 m² tot.,3 dorm.,"1,030,397.00","272,592.00"
del sol oeste,"Barranco, Lima",43 m² tot.,1 dorm.,"445,000.00","117,000.00"
COCOA,"Cocoa, Asia",286 m² tot.,6 dorm.,"1,482,000.00","390,000.00"
Psj Callao Mz lote 06-B,"Villa Poeta Jose Galvez, Villa María del Triunfo",210 m² tot.,12 dorm.,"513,000.00","135,000.00"
santa cruz,"Santa Cruz, Miraflores",260 m² tot.,3 dorm.,"2,342,000.00","617,000.00"
Av Jorge Chavez,"Sc.6 Gr.5, Villa el Salvador",190 m² tot.,4 dorm.,"656,000.00","175,000.00"
"CALLE LA PINTA 159, SAN ISIDRO","El Olivar, San Isidro",250 m² tot.,5 dorm.,"1,837,500.00","490,000.00"
Malecón Grau,"Chorrillos, Chorrillos",210 m² tot.,3 dorm.,"1,200,960.00","320,000.00"
Calle Bolivar 388,"Leuro, Miraflores",90 m² tot.,2 dorm.,"690,000.00","185,000.00"
Tungasuca,"Tungasuca, Carabayllo",67 m² tot.,2 dorm.,"147,000.00","39,000.00"
Jirón Coronel Alfonso Ugarte,"Magdalena, Lima",84 m² tot.,4 dorm.,"500,000.00","132,000.00"
Calle las Poncianas 310,"Santiago de Surco, Lima",504 m² tot.,4 dorm.,"12,210,000.00","3,300,000.00"
FRANCISCO QUIÑONES LASTRES 135,"Miraflores, Lima",359 m² tot.,4 dorm.,"2,470,000.00","650,000.00"
Malecon 28 de Julio - Dpto. - Punta Hermosa,"Punta Hermosa, Lima",119 m² tot.,3 dorm.,"985,800.00","265,000.00"
Augusto Bolognesi 028,"San Isidro, Lima",298 m² tot.,2 dorm.,"2,580,000.00","700,000.00"
jose gonzales,"Miraflores, Lima",150 m² tot.,3 dorm.,"667,000.00","183,000.00"
Jr. Catalino Miranda,"Barranco, Lima",50 m² tot.,3 dorm.,"667,800.00","180,000.00"
Av San Luis 2757,"Las Magnolias, San Borja",103 m² tot.,3 dorm.,"721,810.00","190,000.00"
jr san Martin al 3800,"Peru, San Martín de Porres",150 m² tot.,6 dorm.,"607,236.00","160,000.00"
"Urbanizacion Las Esmeraldas, carabayllo","Estrella Solar, Carabayllo",204 m² tot.,4 dorm.,"329,000.00","89,000.00"
Dirección no informada,"La Molina, Lima",1200 m² tot.,4 dorm.,"5,952,000.00","1,600,000.00"
Avenida Insurgentes,"Callao, Callao",148 m² tot.,4 dorm.,"361,000.00","95,000.00"
Dirección no informada,"Rinconada Alta, La Molina",600 m² tot.,5 dorm.,"3,806,190.00","999,000.00"
Federico Villarreal 351,"Santa Cruz, Miraflores",63 m² tot.,1 dorm.,"452,000.00","119,000.00"
Jirón Manuel Lorenzo Aguirre 250,"Las Lilas, Santiago de Surco",74 m² tot.,2 dorm.,"420,000.00","112,000.00"
Marqueses xxx,"Monterrico Chico, Santiago de Surco",214 m² tot.,3 dorm.,"1,445,600.00","384,900.00"
Prta Del Sol 237,"Santiago de Surco, Lima",89 m² tot.,2 dorm.,"522,200.00","140,000.00"
JR CREPI SAN BORJA,"San Borja, Lima",308 m² tot.,5 dorm.,"2,550,000.00","680,000.00"
Calle Manco Capac Cdra. 3,"Miraflores, Lima",52 m² tot.,2 dorm.,"364,800.00","96,000.00"
"Av recreacional , playa Lobos","Lobos, Cerro Azul",139 m² tot.,4 dorm.,"499,500.00","135,000.00"
Jr. Tnte. Legua Romero,"Chorrillos, Lima",70 m² tot.,3 dorm.,"289,000.00","77,000.00"
Av Roca y Boloña cuadra,"Miraflores, Lima",84 m² tot.,3 dorm.,"591,480.00","159,000.00"
"Av. 12 de Octubre, 2440","Coviti, San Martín de Porres",71 m² tot.,2 dorm.,"316,680.00","84,000.00"
CALLE LOS ROSALES,"San Miguel, Lima",72 m² tot.,2 dorm.,"405,000.00","108,000.00"
JR Luis Garibaldi 690 La Victoria,"La Victoria, La Victoria",89 m² tot.,3 dorm.,"412,500.00","110,000.00"
Av LOS INGENIEROS 444 - 301,"Santiago de Surco, Lima",122 m² tot.,3 dorm.,"750,000.00","220,000.00"
Calle Alberto Chabrier al 100,"San Isidro, Lima",395 m² tot.,3 dorm.,"3,528,999.00","990,000.00"
AH Francisco Tudela Mz I lot 26 Ventanilla,"Callao, Lima",98 m² tot.,3 dorm.,"198,000.00","53,513.51"
Av. Paseo de la Republica al 6100,"Miraflores, Lima",120 m² tot.,2 dorm.,"840,000.00","227,027.03"
calle doña hortencia,"Santiago de Surco, Lima",92 m² tot.,3 dorm.,"365,000.00","98,000.00"
"Calle LOMA DE LAS CAMPANILLAS, transversal de av. Caminos del Inca","Prolongacion Benavides, Santiago de Surco",101 m² tot.,3 dorm.,"605,880.00","162,000.00"
Av. Sergio Bernales 479,"Barrio Medico, Surquillo",81 m² tot.,3 dorm.,"450,000.00","118,000.00"
Calle Antequera 609,"San Isidro, Lima",70 m² tot.,2 dorm.,"666,000.00","180,000.00"
azpitia,"Santa Cruz de Flores, Cañete",1143 m² tot.,4 dorm.,"672,500.00","179,000.00"
quinta samay,"Cayma, Arequipa",193 m² tot.,4 dorm.,"2,035,030.00","545,000.00"
Doña Virginia,"Los Rosales, Santiago de Surco",112 m² tot.,3 dorm.,"298,640.00","80,000.00"
AV. SEPARADORA INDUSTRIAL 2800,"Santa Raquel, La Molina",115 m² tot.,2 dorm.,"418,000.00","110,000.00"
Universidad Privada del Norte,"Lima Cercado, Lima",201 m² tot.,4 dorm.,"454,800.00","120,000.00"
MALECON ARMENDARIZ,"Malecon Armendariz, Miraflores",745 m² tot.,5 dorm.,"11,625,000.00","3,100,000.00"
"MICAELA BASTIDAS, URB. EL RETABLO","El Retablo, Comas",71 m² tot.,3 dorm.,"195,000.00","52,000.00"
MANUEL VILLARAN,"Aurora, Miraflores",270 m² tot.,3 dorm.,"1,875,000.00","500,000.00"
Calle Abraham Valdelomar Mz B Lote 2,"Juan Pablo II, Callao",200 m² tot.,10 dorm.,nan,nan
Urbanización Alameda del Pinar,"Lima, Lima",150 m² tot.,5 dorm.,"323,640.00","87,000.00"
Calle Antequera 603,"San Isidro, Lima",110 m² tot.,4 dorm.,"1,054,000.00","285,000.00"
av. Tejada 498,"Barranco, Lima",107 m² tot.,3 dorm.,"720,000.00","188,000.00"
Calle Antequera 605,"San Isidro, Lima",93 m² tot.,2 dorm.,"906,500.00","245,000.00"
jiron alameda costa norte,"Las Brisas De Villa, Chorrillos",300 m² tot.,5 dorm.,"1,767,000.00","465,000.00"
SANTO TORIBIO,"El Rosario, San Isidro",405 m² tot.,3 dorm.,"3,645,600.00","980,000.00"
"Jirón Solidaridad, Mz UU5, Lt. 32","Pro, Los Olivos",69 m² tot.,2 dorm.,"312,750.00","83,400.00"
hermilio valdizan,"Magdalena, Lima",141 m² tot.,3 dorm.,"1,054,500.00","285,000.00"
av. mariano Cornejo 1609,"Pueblo Libre, Lima",153 m² tot.,3 dorm.,"633,750.00","169,000.00"
Alameda de los Cedros al 700,"Chorrillos, Lima",63 m² tot.,2 dorm.,"203,830.00","54,500.00"
LINCE JIRON MANUEL CANDAMO,"Risso, Lince",300 m² tot.,7 dorm.,"945,000.00","250,000.00"
"Calle Ubinas N° , San Miguel","San Miguel, Lima",61 m² tot.,2 dorm.,"399,587.00","107,996.49"
Huaycan Zona H,"Ate Vitarte, Lima",89 m² tot.,2 dorm.,"190,000.00","50,000.00"
Elias Aguirre con Jr. Grau,"Bellavista, Bellavista",140 m² tot.,3 dorm.,"180,000.00","48,257.00"
Las Secoyas 1,"Sirius, La Molina",409 m² tot.,4 dorm.,"1,640,000.00","438,000.00"
Laredo,"Santiago de Surco, Lima",123 m² tot.,3 dorm.,"637,500.00","170,000.00"
Ayacucho 230,"Magdalena, Lima",78 m² tot.,3 dorm.,"480,000.00","129,729.73"
JIRON FORTALEZA DE PARAMONGA,"Santiago de Surco, Lima",400 m² tot.,6 dorm.,"2,466,200.00","649,000.00"
Prolongación Paseo de la Republica al 7600,"Los Rosales, Santiago de Surco",82 m² tot.,3 dorm.,"477,300.00","129,000.00"
José leal,"Lince, Lima",81 m² tot.,3 dorm.,"426,000.00","118,000.00"
Av Olavegoya Jesus María,"Jesús María, Lima",86 m² tot.,2 dorm.,"631,207.00","165,000.00"
los recuerdos,"Chacarilla Del Estanque, San Borja",300 m² tot.,3 dorm.,"1,785,600.00","475,000.00"
Fulgencio Valdez 437 Breña,"Breña, Lima",60 m² tot.,1 dorm.,"285,000.00","75,000.00"
Av. Jose Galvez Barrenechea cdra 4 Corpac San Isidro,"Corpac, San Isidro",606 m² tot.,7 dorm.,"4,625,000.00","1,250,000.00"
Calle Mariscal Castilla 445,"Magdalena, Lima",69 m² tot.,3 dorm.,"445,200.00","120,000.00"
Las Palmeras 2xx,"San Isidro, Lima",260 m² tot.,5 dorm.,"2,925,000.00","780,000.00"
Parque Gonzales Prada,"Barranco, Lima",83 m² tot.,2 dorm.,"745,995.00","200,000.00"
Calle PADEREWSKI 125 - 402,"Surquillo, Lima",71 m² tot.,3 dorm.,"548,100.00","145,000.00"
Jr. Santa María de los Angeles,"San Diego, San Martín de Porres",120 m² tot.,5 dorm.,"462,500.00","125,000.00"
Av. 24 de Enero al 300,"Lima, Lima",150 m² tot.,4 dorm.,"300,000.00","80,428.00"
valle verde puente piedra,"Puente Piedra, Lima",53 m² tot.,3 dorm.,"123,000.00","33,243.24"
Av. Augusto Perez Aranibar 2023,"San Isidro, Lima",86 m² tot.,3 dorm.,"600,000.00","160,000.00"
Los Pinos,"Vallecito, Arequipa",126 m² tot.,3 dorm.,"629,000.00","170,000.00"
Jr Huascar 2160,"Jesús María, Lima",45 m² tot.,1 dorm.,"351,500.00","95,000.00"
Av.Alberto del Campo 468,"Jesús María, Lima",125 m² tot.,3 dorm.,"872,340.00","234,500.00"
ROCA DE VERGALLO,"San Isidro, Lima",250 m² tot.,3 dorm.,"2,300,000.00","650,000.00"
Av reducto 816,"Armendariz, Miraflores",120 m² tot.,3 dorm.,"716,000.00","190,000.00"
Los Rosales,"Los Rosales, Santiago de Surco",124 m² tot.,3 dorm.,"472,440.00","124,000.00"
RINCONADA DEL LAGO LA MOLINA,"Rinconada Del Lago, La Molina",800 m² tot.,5 dorm.,"3,700,000.00","999,000.00"
Condominio buganvillas comas,"El Retablo Iii, Comas",82 m² tot.,3 dorm.,"282,676.00","73,999.00"
Jr. Libertad,"Magdalena, Lima",114 m² tot.,3 dorm.,"375,000.00","99,999.00"
Calle Hermenegildo Rojas cuadra 1,"San Felipe, Carabayllo",180 m² tot.,7 dorm.,"551,000.00","145,000.00"
Los Cuarzos 100,"Golf Los Incas, Santiago de Surco",1008 m² tot.,5 dorm.,"7,384,608.00","1,995,840.00"
Av. Los patriotas,"Maranga, San Miguel",61 m² tot.,2 dorm.,"315,400.00","83,000.00"
Calle El Prado Urb Las Viñas,"Las Viñas, La Molina",160 m² tot.,4 dorm.,"1,501,000.00","390,000.00"
Paseo de Los Rosales,"Miraflores, Lima",78 m² tot.,1 dorm.,"514,300.00","139,000.00"
Avenida Tejada 275,"Miraflores, Lima",121 m² tot.,3 dorm.,"846,400.00","230,000.00"
Los Flamencos,"San Bartolo, Lima",95 m² tot.,3 dorm.,"389,550.00","105,000.00"
Pedro Abad Galiante 402,"Ingeniero Antunez De Mayolo, Santiago de Surco",80 m² tot.,2 dorm.,"663,750.00","177,419.00"
Jr. Los Aperos 240,"La Ensenada, La Molina",115 m² tot.,3 dorm.,"557,282.00","146,000.00"
tambo de monterrico,"Tambo De Monterrico, Santiago de Surco",112 m² tot.,3 dorm.,"556,000.00","150,000.00"
Bernardo Monteagudo Cdra 2,"Magdalena, Lima",288 m² tot.,3 dorm.,"2,600,000.00","685,000.00"
Av. Juan Antonio Pezet 1505,"San Isidro, Lima",104 m² tot.,3 dorm.,"668,520.00","180,000.00"
CALLE 32,"Corpac, San Isidro",360 m² tot.,1 dorm.,"1,640,400.00","500,000.00"
Parque Armendáriz,"Miraflores, Lima",101 m² tot.,1 dorm.,"1,302,000.00","350,000.00"
PLAYA AZUL,"Cerro Azul, Cañete",110 m² tot.,3 dorm.,"570,000.00","150,000.00"
calle guadalupe,"Los Cedros De Villa, Chorrillos",176 m² tot.,3 dorm.,"719,000.00","199,000.00"
CINCUNVALACION GOLF LOS INCAS 849,"Golf Los Incas, Santiago de Surco",476 m² tot.,4 dorm.,"3,108,000.00","840,000.00"
CONDOMINIO CASA CLUB EL PALMAR LURIN,"Lurín, Lima",65 m² tot.,3 dorm.,"171,120.00","46,500.00"
JOSE LEAL 1345,"Lobaton, Lince",104 m² tot.,3 dorm.,"665,000.00","175,000.00"
