direccion,distrito,metraje,dormitorios,Precio Soles,Precio Dolares
"Av. General Santa Cruz 708, Jesus Maria","Jesús María, Lima",53 a 73 m² tot.,2 a 3 dorm.,"408,000.00","110,270.00"
Jr Nicolas Rodrigo 250,"Monterrico, Santiago de Surco",47 a 127 m² tot.,1 a 3 dorm.,"478,000.00","129,189.19"
Av. Bertolotto 850,"San Miguel, Lima",68 a 78 m² tot.,3 dorm.,"555,000.00","150,000.00"
Av. Javier Prado Este 2901,"San Borja, Lima",38 a 72 m² tot.,1 a 3 dorm.,"319,204.00","86,271.35"
Av. Javier Prado Oeste 2361,"Magdalena, Lima",38 a 91 m² tot.,1 a 3 dorm.,"397,865.00","107,531.08"
AV 28 DE JULIO 1200,"Miraflores, Lima",134 m² tot.,2 dorm.,"931,000.00","245,000.00"
Laguna Grande al 1200,"Las Lagunas, La Molina",302 m² tot.,3 dorm.,"1,663,200.00","440,000.00"
JR. LOS Olmos Cuadra 1 Urb. ELL Remanso LA Molina,"La Molina, Lima",334 m² tot.,4 dorm.,"1,766,400.00","480,000.00"
Calle Manuel Pérez De Tudela 1,"Chacarilla Santa Cruz, San Isidro",938 m² tot.,4 dorm.,"7,087,000.00","1,900,000.00"
"A 2 Minutos de la Unmsm, a 5 Minutos de U. Católica , Salida Rápida a Av. Universitaria","Los Cipreses, Lima Cercado",255 m² tot.,3 dorm.,"795,270.00","210,000.00"
Cerca al C.c. La Rambla y al Colegio San Francisco de Borja,"San Borja, Lima",157 m² tot.,5 dorm.,"724,000.00","195,000.00"
Calle Aricota,"Tambo De Monterrico, Santiago de Surco",275 m² tot.,5 dorm.,"1,344,096.00","360,000.00"
"Jr. Málaga 101, Surco","Santiago de Surco, Lima",69 m² tot.,2 dorm.,"684,180.00","181,000.00"
AV. COSTANERA N° 1200 SAN MIGUEL,"Magdalena, Lima",85 m² tot.,3 dorm.,"536,200.00","152,000.00"
Calle Las Violetas 222 - Surco,"Las Casuarinas, Santiago de Surco",198 m² tot.,3 dorm.,"1,090,320.00","272,580.00"
Jr. Maria Parado de Bellido 183,"Primavera, Magdalena",125 m² tot.,3 dorm.,"973,546.00","263,120.54"
Calle Pontevedra 130 - Urb. Higuereta,"Higuereta, Santiago de Surco",163 m² tot.,3 dorm.,"1,309,840.00","327,460.00"
Calle Los Nogales,"San Isidro, Lima",71 a 289 m² tot.,2 a 3 dorm.,"680,538.00","179,850.00"
Av. Esteban Campodónico 447 Urb. Santa Catalina - La Victoria,"Santa Catalina, La Victoria",51 a 82 m² tot.,2 a 3 dorm.,"345,060.00","93,259.46"
Jr. Manuel del Pino 238-240,"Santa Beatriz, Lima Cercado",47 a 83 m² tot.,1 a 3 dorm.,"322,000.00","87,027.03"
Av San Borja Sur 291,"San Borja Sur, San Borja",99 a 229 m² tot.,2 a 4 dorm.,"738,470.00","195,000.00"
Av. Javier prado este 1095,"La Victoria, Lima",44 a 83 m² tot.,1 a 3 dorm.,"325,000.00","87,837.84"
Calle Santa Dora 168,"Santiago de Surco, Lima",120 a 224 m² tot.,3 dorm.,"909,220.00","244,000.00"
AVENIDA LOS PATRIOTAS 418-424,"San Miguel, Lima",38 a 79 m² tot.,1 a 3 dorm.,"256,000.00","69,189.19"
Av. Javier Prado Este,"Jardin, San Isidro",25 a 71 m² tot.,1 a 3 dorm.,"270,000.00","72,972.97"
Av. Militar 1727,"Lince, Lima",37 a 66 m² tot.,1 a 3 dorm.,"239,463.00","64,719.73"
Av. Talara 765,"Jesús María, Lima",57 a 76 m² tot.,2 a 3 dorm.,"466,900.00","126,189.19"
Av. Javier Prado Este 1091,"Santa Catalina, La Victoria",53 a 91 m² tot.,2 a 3 dorm.,"361,290.00","97,645.95"
Jr. Lampa 1237 Lima,"Lima Cercado, Lima",40 a 84 m² tot.,1 a 3 dorm.,"320,000.00","86,486.49"
Acacias 694 Los Condores Chaclacayo,"Los Condores, Chaclacayo",15185 m² tot.,4 dorm.,"12,160,000.00","3,200,000.00"
Jr. De Los Conquistadores N°379,"La Molina, Lima",96 m² tot.,3 dorm.,"499,500.00","135,000.00"
jiron el rocio 392 Surco,"Higuereta, Santiago de Surco",158 m² tot.,4 dorm.,"709,100.00","190,000.00"
"CALLE CENTRAL 754, SURCO","Los Alamos De Monterrico, Santiago de Surco",396 m² tot.,4 dorm.,"2,993,000.00","789,000.00"
